strategy	metric	observed	random_mean	random_p95	empirical_p_random_ge_observed
weighted_sum	mean_constraint_score	0.6625598086	0.0762737123	0.1546465884	0.000999000999
weighted_sum	mean_conservation_score	0.8739130435	0.3446217391	0.4304347826	0.000999000999
weighted_sum	mean_novelty_score	0.2909051644	0.7831101696	0.8527595448	1
weighted_sum	mean_uniqueness_score	0.9240574397	0.7823812342	0.8299954995	0.000999000999
weighted_sum	subset_diversity	0.6120748391	0.7821465631	0.867243694	0.991008991
weighted_sum	domain_pass_rate	1	0.13285	0.25	0.000999000999
pareto	mean_constraint_score	0.3645811944	0.0762737123	0.1546465884	0.000999000999
pareto	mean_conservation_score	0.5804347826	0.3446217391	0.4304347826	0.000999000999
pareto	mean_novelty_score	0.5971057824	0.7831101696	0.8527595448	0.999000999
pareto	mean_uniqueness_score	0.9434524943	0.7823812342	0.8299954995	0.000999000999
pareto	subset_diversity	0.8753188875	0.7821465631	0.867243694	0.03496503497
pareto	domain_pass_rate	0.6	0.13285	0.25	0.000999000999
dimension_round_robin	mean_constraint_score	0.3708133971	0.0762737123	0.1546465884	0.000999000999
dimension_round_robin	mean_conservation_score	0.5782608696	0.3446217391	0.4304347826	0.000999000999
dimension_round_robin	mean_novelty_score	0.5893489251	0.7831101696	0.8527595448	0.999000999
dimension_round_robin	mean_uniqueness_score	0.9430878214	0.7823812342	0.8299954995	0.000999000999
dimension_round_robin	subset_diversity	0.8856530196	0.7821465631	0.867243694	0.02197802198
dimension_round_robin	domain_pass_rate	0.5	0.13285	0.25	0.000999000999
