sample	selected_count	subset_diversity	domain_pass_rate	mean_constraint_score	mean_conservation_score	mean_novelty_score	mean_uniqueness_score
1	20	0.7894377582	0.15	0.08265550239	0.3347826087	0.8007205733	0.7814054865
2	20	0.8611773408	0.1	0.08748668229	0.3086956522	0.7901714588	0.8219127964
3	20	0.7593814274	0	0.008600817465	0.2630434783	0.873399355	0.7714264742
4	20	0.7238806862	0.15	0.07368421053	0.3630434783	0.7557458723	0.7526702287
5	20	0.8416228649	0.25	0.1460393946	0.4065217391	0.7120138448	0.8117511751
6	20	0.7696906206	0.05	0.00980861244	0.2913043478	0.827127631	0.7724237733
7	20	0.7940747991	0.2	0.07141148325	0.4065217391	0.7504648325	0.7845587843
8	20	0.6942989294	0.1	0.03861941383	0.35	0.7811257192	0.7386553787
9	20	0.7848073297	0.1	0.05717703349	0.3282608696	0.7803885959	0.7808773569
10	20	0.7478531839	0.2	0.1502392344	0.4173913043	0.7103455556	0.7641934559
11	20	0.8148170641	0.1	0.04914266251	0.35	0.7787435195	0.7933167517
12	20	0.8231908292	0.1	0.09377167154	0.2934782609	0.8026083661	0.7999209402
13	20	0.7765057267	0.05	0.005711439991	0.3413043478	0.7831131378	0.7771800958
14	20	0.7698598095	0.05	0.03586821765	0.3108695652	0.8048168696	0.773196974
15	20	0.8194504727	0.15	0.08305584074	0.352173913	0.7712059987	0.7967968672
16	20	0.8221787059	0.05	0.03552631579	0.3108695652	0.8383068383	0.7995628159
17	20	0.8521426704	0.2	0.1026315789	0.4304347826	0.7487135443	0.818725445
18	20	0.7627000488	0.1	0.07151947775	0.3391304348	0.7769451721	0.7685409931
19	20	0.8185164996	0.1	0.01722488038	0.2760869565	0.8146325938	0.7991465894
20	20	0.8507026989	0.15	0.03743341146	0.3652173913	0.7695712532	0.8113951891
21	20	0.7712627319	0.25	0.1411367026	0.4065217391	0.7302888064	0.7720906727
22	20	0.7632368535	0.1	0.04019138756	0.3043478261	0.8351484098	0.7686471553
23	20	0.5664579573	0.1	0.06662679426	0.3347826087	0.807038545	0.6985500062
24	20	0.7902092068	0.15	0.04149022722	0.3108695652	0.7720078835	0.7806386131
25	20	0.7433266046	0	0	0.2826086957	0.8674142604	0.7610776473
26	20	0.8325677291	0.25	0.1002823354	0.4543478261	0.6957032666	0.8053087359
27	20	0.7295369989	0	0.007884082676	0.2739130435	0.8560965486	0.7610787706
28	20	0.8835976967	0.2	0.123427542	0.3804347826	0.7407501753	0.8399338353
29	20	0.7701374506	0.1	0.02918660287	0.3195652174	0.8222164883	0.7750741766
30	20	0.7991116059	0.15	0.06738598428	0.3456521739	0.780019937	0.7880583941
31	20	0.7917723565	0.15	0.07295327018	0.347826087	0.794444565	0.7857894396
32	20	0.7659273652	0.05	0.057525231	0.2934782609	0.8520444435	0.7722004888
33	20	0.7951501596	0.15	0.1190017047	0.3826086957	0.746413198	0.7850613344
34	20	0.7772793324	0.2	0.1491626794	0.3565217391	0.7554010776	0.7762574851
35	20	0.8199158556	0.15	0.1171038103	0.3260869565	0.7893749402	0.8034834829
36	20	0.7458563099	0.15	0.0769138756	0.3369565217	0.7959154698	0.7609700771
37	20	0.7696589033	0	0.0002259974559	0.2652173913	0.8681915522	0.7742960268
38	20	0.8448747141	0.2	0.1559808612	0.3586956522	0.7136052371	0.8299954643
39	20	0.8147094455	0.15	0.1289473684	0.3413043478	0.8150260665	0.7949393958
40	20	0.7969981475	0.3	0.1842105263	0.4304347826	0.7025697697	0.7931036336
41	20	0.7583004702	0	0	0.2543478261	0.8655087622	0.7697519713
42	20	0.7151488161	0.15	0.115902311	0.3630434783	0.7539364547	0.7516368332
43	20	0.7840508731	0	0	0.2695652174	0.8741369991	0.784100634
44	20	0.8498279035	0.2	0.1349149927	0.4065217391	0.7142436539	0.8254699584
45	20	0.7285149651	0.15	0.08133971292	0.3434782609	0.7703243953	0.7536160715
46	20	0.7668399075	0.15	0.05788408268	0.3369565217	0.7949770978	0.7735001339
47	20	0.7375518184	0.1	0.05526315789	0.3173913043	0.8133976622	0.7597648702
48	20	0.8874269616	0.2	0.1546402121	0.3695652174	0.7369043094	0.8411229588
49	20	0.6875490259	0.05	0.02188995215	0.2847826087	0.8264494038	0.7412940988
50	20	0.7297087005	0.1	0.09955639928	0.3282608696	0.7913706873	0.7605511365
51	20	0.8148329724	0.15	0.09227766693	0.3760869565	0.7407461329	0.7951065355
52	20	0.7569756484	0.05	0.00490430622	0.2673913043	0.84408949	0.7683717879
53	20	0.7599078688	0.15	0.127618342	0.3652173913	0.7541278852	0.7672352946
54	20	0.6646485354	0.05	0.00514354067	0.3	0.8306818262	0.7324230819
55	20	0.7879633561	0.05	0.04503080022	0.2652173913	0.8450753144	0.782782573
56	20	0.7637661085	0.05	0.05595600152	0.3217391304	0.8047937488	0.7724796641
57	20	0.7901366446	0.15	0.1072834137	0.347826087	0.7940203894	0.7827516532
58	20	0.8733122552	0.2	0.1003481975	0.4130434783	0.7288372665	0.8292428526
59	20	0.656612716	0.1	0.0672883211	0.3434782609	0.8085312239	0.7289598102
60	20	0.6581842829	0.05	0.02679425837	0.2956521739	0.8185154631	0.7290751644
61	20	0.7585608546	0.15	0.08635201364	0.3369565217	0.805872332	0.7676118125
62	20	0.8522336844	0.2	0.09651786348	0.3695652174	0.7378479633	0.8170018106
63	20	0.7991923088	0.15	0.06232057416	0.3347826087	0.7885863243	0.7850302512
64	20	0.7629940758	0.25	0.1262508959	0.4304347826	0.7017724469	0.7722139177
65	20	0.7816782384	0.15	0.09575722062	0.3260869565	0.7609107679	0.7781703121
66	20	0.7804052682	0.2	0.1278538636	0.3869565217	0.7498604572	0.7764634902
67	20	0.8330871109	0.2	0.108784844	0.3760869565	0.7446313605	0.8089180309
68	20	0.7205573427	0.05	0.0601112876	0.2847826087	0.8299806418	0.7534722311
69	20	0.8101078054	0.1	0.08696026965	0.3152173913	0.8054043311	0.7920726201
70	20	0.8719817638	0.3	0.2135060922	0.4608695652	0.6646237079	0.8363618698
71	20	0.7910393305	0.3	0.1906698565	0.45	0.6893625432	0.7868899521
72	20	0.776915761	0.15	0.118062201	0.3456521739	0.7646655778	0.7764874952
73	20	0.8044051236	0.15	0.1112987428	0.3717391304	0.7644736974	0.7899990793
74	20	0.7555055126	0.1	0.01854066986	0.3108695652	0.8170114413	0.7684162534
