sequence_id	selection_frequency
gen_0	0
gen_1	0
gen_10	0
gen_100	0
gen_101	1
gen_102	0
gen_103	0
gen_104	0
gen_105	0
gen_106	0
gen_107	0
gen_108	0
gen_109	0.92
gen_11	0
gen_110	0
gen_111	0
gen_112	0
gen_113	0
gen_114	0
gen_115	0.81
gen_116	0
gen_117	0
gen_118	0
gen_119	0
gen_12	0
gen_120	0
gen_121	0
gen_122	0
gen_123	1
gen_124	0
gen_125	0
gen_126	0
gen_127	0
gen_128	0
gen_129	0.44
gen_13	0
gen_130	0
gen_131	0
gen_132	0
gen_133	0
gen_134	0
gen_135	0
gen_136	0
gen_137	0
gen_138	0
gen_139	0
gen_14	0.055
gen_140	0
gen_141	0
gen_142	1
gen_143	0
gen_144	0
gen_145	0
gen_146	0
gen_147	0
gen_148	0
gen_149	0
gen_15	0
gen_150	0
gen_151	0
gen_152	0
gen_153	0
gen_154	0
gen_155	0
gen_156	0
gen_157	0
gen_158	0
gen_159	0
gen_16	0
gen_160	0
gen_161	1
gen_162	0
gen_163	0
gen_164	0
gen_165	0
gen_166	0
gen_167	0
gen_168	0
gen_169	0
gen_17	0
gen_170	0
gen_171	0
gen_172	0
gen_173	0.995
gen_174	0
gen_175	0
gen_176	0
gen_177	0
gen_178	0
gen_179	0.95
gen_18	0
gen_180	0
gen_181	0
gen_182	0
gen_183	0
gen_184	0
gen_185	0
gen_186	0
gen_187	0
gen_188	0
gen_189	0
gen_19	0
gen_190	0
gen_191	0
gen_192	0
gen_193	0
gen_194	1
gen_195	0
gen_196	0
gen_197	0
gen_198	0
gen_199	1
gen_2	0
gen_20	0
gen_21	0
gen_22	0
gen_23	0
gen_24	0
gen_25	0
gen_26	0
gen_27	0
gen_28	0
gen_29	0
gen_3	0
gen_30	0
gen_31	0
gen_32	0
gen_33	0
gen_34	0
gen_35	0
gen_36	0
gen_37	0
gen_38	0
gen_39	1
gen_4	0
gen_40	0.27
gen_41	0.035
gen_42	1
gen_43	0
gen_44	1
gen_45	0
gen_46	0
gen_47	0
gen_48	0.155
gen_49	0
gen_5	0
gen_50	0
gen_51	0
gen_52	0
gen_53	0
gen_54	0
gen_55	0
gen_56	1
gen_57	0
gen_58	0
gen_59	0
gen_6	1
gen_60	0
gen_61	0
gen_62	0
gen_63	0
gen_64	0
gen_65	0
gen_66	0
gen_67	0.6
gen_68	0.05
gen_69	0
gen_7	0
gen_70	0
gen_71	0.72
gen_72	0
gen_73	0
gen_74	0
gen_75	0
gen_76	0
gen_77	0
gen_78	0
gen_79	0
gen_8	0
gen_80	0
gen_81	0
gen_82	0
gen_83	0
gen_84	0
gen_85	0
gen_86	0
gen_87	0
gen_88	0
gen_89	0
gen_9	0
gen_90	0
gen_91	0
gen_92	1
gen_93	0
gen_94	0
gen_95	1
gen_96	0
gen_97	1
gen_98	0
gen_99	0
