sample	selected_count	subset_diversity	domain_pass_rate	mean_constraint_score	mean_conservation_score	mean_novelty_score	mean_uniqueness_score
1	20	0.5609323911	0.1	0.05717703349	0.2891304348	0.8147036251	0.6447174161
2	20	0.7430774813	0.1	0.05201654301	0.2717391304	0.8051375644	0.726938946
3	20	0.6894500871	0.1	0.09221810046	0.3347826087	0.7636293602	0.6993111084
4	20	0.6970509572	0.2	0.1264247525	0.3913043478	0.7212073122	0.6984096218
5	20	0.7498020905	0.15	0.0730559376	0.3586956522	0.7605613622	0.7247244672
6	20	0.6476862932	0.1	0.06291866029	0.3152173913	0.7505566555	0.6781322138
7	20	0.6223829571	0.15	0.03791866029	0.3630434783	0.7588906093	0.6678227478
8	20	0.7237139032	0.05	0.03716011597	0.297826087	0.8077204677	0.7193511172
9	20	0.7177493383	0.15	0.1053265986	0.3586956522	0.7279457987	0.7080613263
10	20	0.6781325207	0.1	0.07390649517	0.35	0.7616052934	0.6896536784
11	20	0.7419913784	0.1	0.04717939032	0.3326086957	0.7635658486	0.7266723558
12	20	0.7785844425	0.1	0.105849137	0.3217391304	0.7858005349	0.7426096483
13	20	0.6873467538	0.15	0.05583105722	0.352173913	0.7637297808	0.6976301769
14	20	0.7192106523	0.15	0.07342802627	0.3760869565	0.7496875023	0.708667532
15	20	0.6617987396	0.1	0.08426524999	0.302173913	0.8005473096	0.6841456699
16	20	0.6350335069	0.1	0.05179425837	0.3369565217	0.7957181702	0.6754070243
17	20	0.8027054093	0.3	0.1550171435	0.4891304348	0.6399404054	0.7632443241
18	20	0.613196329	0	0.00918195378	0.2739130435	0.8315006646	0.6674219976
19	20	0.7119206488	0.15	0.08397129187	0.3391304348	0.7625268806	0.70511917
20	20	0.7733009098	0.2	0.05358851675	0.397826087	0.7249108262	0.7392003143
21	20	0.784495441	0.2	0.103440327	0.3804347826	0.7341460518	0.7472845919
22	20	0.6254725683	0.15	0.1066985646	0.3260869565	0.7784686609	0.6686167241
23	20	0.6420912268	0.15	0.09210526316	0.3369565217	0.760686141	0.676711972
24	20	0.7796099518	0.25	0.09159660746	0.4347826087	0.6786056174	0.7411154309
25	20	0.7137173805	0.15	0.07942583732	0.352173913	0.7681214729	0.706206594
26	20	0.743624031	0.2	0.06613670263	0.397826087	0.7076665151	0.7241139184
27	20	0.8256522002	0.3	0.184678341	0.4217391304	0.6555331586	0.778153232
28	20	0.7303945698	0.1	0.07116546888	0.3326086957	0.7662443653	0.7184837051
29	20	0.7263703978	0.2	0.08228599655	0.3304347826	0.7650121381	0.7120821706
30	20	0.7257745002	0.2	0.08819938141	0.3739130435	0.7324023452	0.7150525044
31	20	0.686521119	0.1	0.06804896396	0.2826086957	0.8303813004	0.7012642173
32	20	0.7135269361	0.1	0.07811004785	0.2565217391	0.823911129	0.7088067463
33	20	0.6715981331	0.2	0.1458681208	0.3673913043	0.7360281675	0.6880066899
34	20	0.6556382383	0.25	0.1656698565	0.4326086957	0.7019542902	0.6840818785
35	20	0.8249870324	0.15	0.09400025183	0.35	0.777547104	0.7727250289
36	20	0.6174420549	0	0	0.2630434783	0.8449565914	0.672114566
37	20	0.7759780782	0.05	0.005304644571	0.2891304348	0.8090886209	0.7451013745
38	20	0.7478308275	0.2	0.1600362242	0.3565217391	0.7564872983	0.7248702565
39	20	0.5860956033	0.1	0.08409090909	0.3043478261	0.8155946684	0.6535518016
40	20	0.7565327971	0.25	0.1505980861	0.3673913043	0.7115395224	0.7308025463
41	20	0.6149144679	0.05	0.03299207717	0.3086956522	0.817155369	0.6658980169
42	20	0.7183540662	0.15	0.125	0.3695652174	0.7370223284	0.7098088125
43	20	0.7812669468	0.1	0.06242695439	0.2956521739	0.7993203527	0.7472191172
44	20	0.6657633492	0.15	0.08886236109	0.3673913043	0.7484562067	0.6840386654
45	20	0.6189655812	0.1	0.03862312664	0.3282608696	0.7799219705	0.6631859894
46	20	0.6829144382	0.2	0.06386881816	0.402173913	0.7179745019	0.6960396853
47	20	0.6385359709	0.1	0.07649884741	0.3413043478	0.7591477866	0.6729745918
48	20	0.739958109	0.15	0.05175244884	0.3913043478	0.7332885728	0.7217569201
49	20	0.6370177341	0.15	0.03983253589	0.3347826087	0.767689571	0.6749542868
