budget	strategy_a	strategy_b	jaccard	intersection
10	weighted_sum	weighted_sum	1	10
10	weighted_sum	pareto	0.4285714286	6
10	weighted_sum	dimension_round_robin	0.1764705882	3
10	pareto	pareto	1	10
10	pareto	dimension_round_robin	0.25	4
10	dimension_round_robin	dimension_round_robin	1	10
20	weighted_sum	weighted_sum	1	20
20	weighted_sum	pareto	0.3333333333	10
20	weighted_sum	dimension_round_robin	0.3793103448	11
20	pareto	pareto	1	20
20	pareto	dimension_round_robin	0.3333333333	10
20	dimension_round_robin	dimension_round_robin	1	20
50	weighted_sum	weighted_sum	1	50
50	weighted_sum	pareto	0.6393442623	39
50	weighted_sum	dimension_round_robin	0.6666666667	40
50	pareto	pareto	1	50
50	pareto	dimension_round_robin	0.6393442623	39
50	dimension_round_robin	dimension_round_robin	1	50
