strategy	metric	observed	valid_random_samples	random_mean	empirical_p_random_ge_observed
weighted_sum	mean_constraint_score	0.896721311475	1000	0.681132377053	0.000999000999001
weighted_sum	mean_conservation_score	0.989130434775	1000	0.986406521737	0.438561438561
weighted_sum	mean_novelty_score	0.307321043209	1000	0.212631515583	0.000999000999001
weighted_sum	mean_uniqueness_score	0.405128122739	1000	0.352148979651	0.000999000999001
weighted_sum	subset_diversity_observed_mean	0.412172650531	1000	0.345778199484	0.002997002997
weighted_sum	subset_diversity_lower_bound	0.327568790686	1000	0.318828797129	0.345654345654
weighted_sum	subset_diversity_resolved_fraction	0.794736842105	1000	0.923547368421	0.997002997003
pareto	mean_constraint_score	0.60696721312	1000	0.681132377053	0.907092907093
pareto	mean_conservation_score	0.973913043475	1000	0.986406521737	0.977022977023
pareto	mean_novelty_score	0.375065227596	1000	0.212631515583	0.000999000999001
pareto	mean_uniqueness_score	0.460115297112	1000	0.352148979651	0.000999000999001
pareto	subset_diversity_observed_mean	0.487424937938	1000	0.345778199484	0.000999000999001
pareto	subset_diversity_lower_bound	0.374547583889	1000	0.318828797129	0.00599400599401
pareto	subset_diversity_resolved_fraction	0.768421052632	1000	0.923547368421	0.998001998002
dimension_round_robin	mean_constraint_score	0.625409836075	1000	0.681132377053	0.853146853147
dimension_round_robin	mean_conservation_score	0.97608695652	1000	0.986406521737	0.953046953047
dimension_round_robin	mean_novelty_score	0.312139635658	1000	0.212631515583	0.000999000999001
dimension_round_robin	mean_uniqueness_score	0.417938325242	1000	0.352148979651	0.000999000999001
dimension_round_robin	subset_diversity_observed_mean	0.453321627223	1000	0.345778199484	0.000999000999001
dimension_round_robin	subset_diversity_lower_bound	0.355499591875	1000	0.318828797129	0.0519480519481
dimension_round_robin	subset_diversity_resolved_fraction	0.784210526316	1000	0.923547368421	0.998001998002
