budget	strategy_a	strategy_b	jaccard
10	weighted_sum	weighted_sum	1
10	weighted_sum	pareto	0.25
10	weighted_sum	dimension_round_robin	0.176470588235
10	pareto	weighted_sum	0.25
10	pareto	pareto	1
10	pareto	dimension_round_robin	0.428571428571
10	dimension_round_robin	weighted_sum	0.176470588235
10	dimension_round_robin	pareto	0.428571428571
10	dimension_round_robin	dimension_round_robin	1
20	weighted_sum	weighted_sum	1
20	weighted_sum	pareto	0.333333333333
20	weighted_sum	dimension_round_robin	0.176470588235
20	pareto	weighted_sum	0.333333333333
20	pareto	pareto	1
20	pareto	dimension_round_robin	0.538461538462
20	dimension_round_robin	weighted_sum	0.176470588235
20	dimension_round_robin	pareto	0.538461538462
20	dimension_round_robin	dimension_round_robin	1
50	weighted_sum	weighted_sum	1
50	weighted_sum	pareto	0.428571428571
50	weighted_sum	dimension_round_robin	0.388888888889
50	pareto	weighted_sum	0.428571428571
50	pareto	pareto	1
50	pareto	dimension_round_robin	0.587301587302
50	dimension_round_robin	weighted_sum	0.388888888889
50	dimension_round_robin	pareto	0.587301587302
50	dimension_round_robin	dimension_round_robin	1
