score_factor	coverage_offset	minimum_resolved_fraction	ranking_count	status	jaccard
0.8	-0.1	0.25	128	ok	0.6
0.8	-0.1	0.5	119	ok	1
0.8	-0.1	0.75	100	ok	0.6
0.8	0	0.25	123	ok	0.6
0.8	0	0.5	114	ok	1
0.8	0	0.75	98	ok	0.666666666667
0.8	0.1	0.25	118	ok	0.6
0.8	0.1	0.5	110	ok	1
0.8	0.1	0.75	98	ok	0.666666666667
1	-0.1	0.25	128	ok	0.6
1	-0.1	0.5	119	ok	1
1	-0.1	0.75	100	ok	0.6
1	0	0.25	123	ok	0.6
1	0	0.5	114	ok	1
1	0	0.75	98	ok	0.666666666667
1	0.1	0.25	118	ok	0.6
1	0.1	0.5	110	ok	1
1	0.1	0.75	98	ok	0.666666666667
1.2	-0.1	0.25	128	ok	0.6
1.2	-0.1	0.5	119	ok	1
1.2	-0.1	0.75	100	ok	0.6
1.2	0	0.25	123	ok	0.6
1.2	0	0.5	114	ok	1
1.2	0	0.75	98	ok	0.666666666667
1.2	0.1	0.25	118	ok	0.6
1.2	0.1	0.5	110	ok	1
1.2	0.1	0.75	98	ok	0.666666666667
