strategy	metric	observed	random_mean	random_p95	empirical_p_random_ge_observed
weighted_sum	mean_constraint_score	0.8987704918	0.6767532787	0.7692827869	0.000999000999
weighted_sum	mean_conservation_score	0.9847826087	0.9834891304	0.9935869565	0.5124875125
weighted_sum	mean_novelty_score	0.3861251262	0.2617171809	0.3070629505	0.000999000999
weighted_sum	mean_uniqueness_score	0.5253173691	0.4523487546	0.4821260852	0.000999000999
weighted_sum	subset_diversity	0.5555174413	0.4455430081	0.5043758656	0.000999000999
weighted_sum	domain_pass_rate	1	1	1	1
pareto	mean_constraint_score	0.5995901639	0.6767532787	0.7692827869	0.9010989011
pareto	mean_conservation_score	0.9630434783	0.9834891304	0.9935869565	0.991008991
pareto	mean_novelty_score	0.4375573458	0.2617171809	0.3070629505	0.000999000999
pareto	mean_uniqueness_score	0.586536685	0.4523487546	0.4821260852	0.000999000999
pareto	subset_diversity	0.6287302744	0.4455430081	0.5043758656	0.000999000999
pareto	domain_pass_rate	1	1	1	1
dimension_round_robin	mean_constraint_score	0.625	0.6767532787	0.7692827869	0.8191808192
dimension_round_robin	mean_conservation_score	0.9630434783	0.9834891304	0.9935869565	0.991008991
dimension_round_robin	mean_novelty_score	0.3802592489	0.2617171809	0.3070629505	0.000999000999
dimension_round_robin	mean_uniqueness_score	0.5482619264	0.4523487546	0.4821260852	0.000999000999
dimension_round_robin	subset_diversity	0.5937390915	0.4455430081	0.5043758656	0.000999000999
dimension_round_robin	domain_pass_rate	1	1	1	1
