sample	selected_count	subset_diversity	domain_pass_rate	mean_constraint_score	mean_conservation_score	mean_novelty_score	mean_uniqueness_score
1	20	0.4589374022	1	0.7475409836	0.9891304348	0.2696511364	0.458091779
2	20	0.3881318519	1	0.7696721311	0.9869565217	0.2271035689	0.4268482437
3	20	0.4497011378	1	0.7598360656	0.9869565217	0.2606046028	0.4551637693
4	20	0.4316415635	1	0.5647540984	0.9782608696	0.2587176972	0.4457396526
5	20	0.4504964529	1	0.6303278689	0.9869565217	0.2614976103	0.4578974826
6	20	0.4535991131	1	0.6729508197	0.9847826087	0.2378688222	0.453956146
7	20	0.4061881197	1	0.65	0.9869565217	0.2438490544	0.4348389774
8	20	0.3933056031	1	0.7008196721	0.9956521739	0.2154185532	0.426461292
9	20	0.4611296024	1	0.6131147541	0.9826086957	0.2849388052	0.4601019553
10	20	0.489252667	1	0.5553278689	0.9782608696	0.2819080789	0.4737882343
11	20	0.438573007	1	0.6512295082	0.9891304348	0.2523377614	0.4489644045
12	20	0.445653229	1	0.6704918033	0.9782608696	0.2630134334	0.4507421738
13	20	0.4306241232	1	0.631557377	0.9913043478	0.262792253	0.4456920155
14	20	0.457556663	1	0.6672131148	0.9760869565	0.2679503638	0.4572402247
15	20	0.3396192357	1	0.8307377049	0.9891304348	0.1916131687	0.4063036304
16	20	0.4056222491	1	0.7143442623	0.9782608696	0.2469167964	0.4331821177
17	20	0.4090506444	1	0.7106557377	0.9891304348	0.239501589	0.434368819
18	20	0.3930408008	1	0.7364754098	0.9847826087	0.2239608663	0.4265294913
19	20	0.3892932134	1	0.7483606557	0.9934782609	0.226119815	0.4283236062
20	20	0.4434368661	1	0.5254098361	0.9891304348	0.2584113132	0.4526606847
21	20	0.4453011337	1	0.681557377	0.9913043478	0.2776910134	0.450461788
22	20	0.4279451331	1	0.6536885246	0.9891304348	0.2388344929	0.4438233465
23	20	0.4783409939	1	0.6020491803	0.9826086957	0.2877446352	0.4671055754
24	20	0.4569909759	1	0.7282786885	0.9847826087	0.2867391091	0.4578813734
25	20	0.4317658996	1	0.6245901639	0.9782608696	0.2552141458	0.446319863
26	20	0.4454123648	1	0.6131147541	0.9804347826	0.27396991	0.4531825429
27	20	0.4696039563	1	0.5979508197	0.9804347826	0.2736993191	0.4640654455
28	20	0.4752215988	1	0.6709016393	0.9782608696	0.2893752129	0.4668239787
29	20	0.4163059166	1	0.725	0.9934782609	0.217268155	0.4392516086
30	20	0.385373804	1	0.7381147541	0.9826086957	0.2372046343	0.4255978581
31	20	0.4208724904	1	0.6504098361	0.9913043478	0.2587398409	0.4385979466
32	20	0.459398466	1	0.6795081967	0.9826086957	0.2750763404	0.4570785109
33	20	0.46143894	1	0.6831967213	0.9760869565	0.2753857122	0.4634558171
34	20	0.4434616075	1	0.7278688525	0.9869565217	0.2497357459	0.4506427279
35	20	0.414041236	1	0.7262295082	0.9804347826	0.2418479495	0.4377058479
36	20	0.3647097527	1	0.6823770492	0.9869565217	0.205264174	0.4164575536
37	20	0.4378922572	1	0.6442622951	0.9826086957	0.2480768518	0.4481379497
38	20	0.4619294488	1	0.681147541	0.9826086957	0.2508714667	0.4621299774
39	20	0.4117399455	1	0.7692622951	0.9869565217	0.243016127	0.4362534994
40	20	0.4981244055	1	0.5237704918	0.9739130435	0.3070397536	0.4850970455
41	20	0.4005494454	1	0.662295082	0.9913043478	0.2344667249	0.4321606372
42	20	0.4114520921	1	0.6528688525	0.9869565217	0.2367577203	0.4355008869
43	20	0.4771832971	1	0.5778688525	0.9760869565	0.2917302575	0.4682582242
44	20	0.4763093391	1	0.6909836066	0.9891304348	0.2520480124	0.4668000482
45	20	0.4550315635	1	0.6540983607	0.9913043478	0.2423022176	0.4547343946
46	20	0.4693715867	1	0.5975409836	0.9782608696	0.2846473094	0.465838756
47	20	0.4573240488	1	0.6008196721	0.9891304348	0.2433068045	0.4549105539
48	20	0.4425093878	1	0.7278688525	0.9782608696	0.2548361288	0.4514188011
49	20	0.442342062	1	0.6848360656	0.9804347826	0.2571077397	0.4491745482
50	20	0.443217122	1	0.831557377	0.9934782609	0.2663127537	0.449422314
51	20	0.4725485517	1	0.668442623	0.9760869565	0.2813504041	0.4648748871
52	20	0.4526693225	1	0.7151639344	0.9826086957	0.2550129923	0.4564832154
53	20	0.4647194446	1	0.5778688525	0.9891304348	0.2518453469	0.4606802387
54	20	0.5026233685	1	0.6081967213	0.9826086957	0.3133640761	0.4781019173
55	20	0.3876841781	1	0.7040983607	0.9804347826	0.2150038265	0.4257983612
56	20	0.3963678507	1	0.7913934426	0.9847826087	0.2366338486	0.430150825
57	20	0.4965498838	1	0.6389344262	0.9695652174	0.3054192805	0.476816606
58	20	0.4261994485	1	0.7762295082	0.9891304348	0.2428300446	0.4409555995
59	20	0.4410557942	1	0.7233606557	0.9804347826	0.2804701657	0.4517315979
60	20	0.4758721309	1	0.6340163934	0.9826086957	0.285759218	0.465347132
61	20	0.4381944944	1	0.8102459016	0.9869565217	0.2682913998	0.448683865
62	20	0.4345081694	1	0.7262295082	0.9891304348	0.245514091	0.4465546544
63	20	0.4582336797	1	0.6508196721	0.9826086957	0.2773395648	0.4579987553
64	20	0.4846405392	1	0.5893442623	1	0.2669738088	0.472458768
65	20	0.4471111816	1	0.7327868852	0.9869565217	0.2630110891	0.4528863287
66	20	0.4341263416	1	0.7405737705	0.9804347826	0.2474080029	0.4467225373
67	20	0.4717573443	1	0.6151639344	0.9760869565	0.2917595059	0.4651155826
