selection_rank	sequence_id	length	standard_aa_only	duplicate_candidate	generation_cap_warning	low_complexity_warning	composition_outlier_checked	composition_js_divergence	composition_js_threshold	composition_outlier_warning	training_match_checked	exact_training_match	training_match_ids	reference_match_checked	exact_reference_match	reference_match_ids	qc_pass	qc_reasons	domain_status	domain_score	domain_evalue	model_coverage	domain_pass	constraint_score	conserved_sites_total	conserved_sites_covered	conserved_sites_matched	conservation_coverage	conservation_score	closest_reference_id	closest_reference_pident	closest_reference_effective_identity	closest_reference_query_coverage	closest_reference_target_coverage	closest_reference_evalue	novelty_score	uniqueness_score	nearest_candidate_id	nearest_candidate_identity	nearest_candidate_distance	sequence_evalue	sequence_score	hmm_from	hmm_to	alignment_from	alignment_to	selected_by_metric	source_metric_rank
1	gen_95	104	True	False	False	False	True	0.07131533659	0.06061925601	True	True	False	[]	True	False	[]	True	composition_outlier_warning	detected	62.1	3.7e-19	0.9743589744	True	0.9928229665	23	21	12	0.9130434783	0.5217391304	ref_000436	0.43333	0.3749971154	0.8653846154	1.046511628	7.01e-13	0.6250028846	0.7889362189	gen_51	0.4038461538	0.5961538462	2.5e-19	62.6	1	38	11	48	constraint_score	1
2	gen_109	86	True	False	False	False	True	0.0286204414	0.06061925601	False	True	False	[]	True	False	[]	True		detected	53.1	2.5e-16	1	True	0.4377990431	23	23	23	1	1	ref_000435	0.8046	0.8046	1.011627907	1	2.07e-45	0.1954	0.9011919465	gen_6	0.7907	0.2093	1.9e-16	53.5	1	39	11	49	conservation_score	1
3	gen_47	100	True	False	False	False	True	0.1638509017	0.06061925601	True	True	False	[]	True	False	[]	True	composition_outlier_warning	not_detected	0	1000	0	False	0	23	18	5	0.7826086957	0.2173913043	ref_001168	0.25806	0.05714185714	0.31	0.2214285714	384	0.9428581429	0.578927053	gen_36	0.7900024	0.2099976							novelty_score	1
4	gen_55	94	True	False	False	False	True	0.0368950792	0.06061925601	False	True	False	[]	True	False	[]	True		not_detected	0	1000	0	False	0	23	23	11	1	0.4782608696	ref_000170	0.31707	0.2765929787	0.8723404255	0.9425287356	474	0.7234070213	0.9849906458	gen_195	0.1382985106	0.8617014894							uniqueness_score	1
5	gen_42	84	True	False	False	False	True	0.02131395013	0.06061925601	False	True	False	[]	True	False	[]	True		detected	60.9	8.8e-19	1	True	0.980861244	23	23	23	1	1	ref_000741	0.85714	0.85714	1	1	1.04e-48	0.14286	0.9076798901	gen_173	0.8488395349	0.1511604651	6.8e-19	61.3	1	39	11	49	constraint_score	2
6	gen_123	120	True	False	False	False	True	0.03522013689	0.06061925601	False	True	False	[]	True	False	[]	True		detected	50.5	1.5e-15	1	True	0.3301435407	23	23	23	1	1	ref_001104	0.64545	0.5819631148	0.9166666667	0.9016393443	9.62e-37	0.4180368852	0.9090081246	gen_97	0.4632352941	0.5367647059	1e-15	51.1	1	39	18	56	conservation_score	2
7	gen_89	96	True	False	False	False	True	0.1315700751	0.06061925601	True	True	False	[]	True	False	[]	True	composition_outlier_warning	not_detected	0	1000	0	False	0	23	18	5	0.7826086957	0.2173913043	ref_000885	0.275	0.07692307692	0.4166666667	0.2797202797	349	0.9230769231	0.5913549702	gen_156	0.7708341667	0.2291658333							novelty_score	2
8	gen_78	105	True	False	False	False	True	0.1840149511	0.06061925601	True	True	False	[]	True	False	[]	True	composition_outlier_warning	not_detected	0	1000	0	False	0	23	15	8	0.652173913	0.347826087	ref_000478	0.43243	0.1523800952	0.3523809524	0.4111111111	715	0.8476199048	0.9613107764	gen_111	0.1909096364	0.8090903636							uniqueness_score	2
9	gen_161	70	True	False	False	False	True	0.02797606802	0.06061925601	False	True	False	[]	True	False	[]	True		detected	60.1	1.6e-18	1	True	0.9425837321	23	23	23	1	1	ref_001083	0.87143	0.8243256757	1	0.9459459459	2.05e-38	0.1756743243	0.9135952141	gen_101	0.7887338028	0.2112661972	1.2e-18	60.4	1	39	11	49	constraint_score	3
10	gen_173	86	True	False	False	False	True	0.01427513435	0.06061925601	False	True	False	[]	True	False	[]	True		detected	55.9	3.1e-17	1	True	0.6578947368	23	23	23	1	1	ref_001070	0.88372	0.88372	1	1	3.58e-51	0.11628	0.8999998507	gen_6	0.88372	0.11628	2.5e-17	56.3	1	39	11	49	conservation_score	4
