selection_rank	sequence_id	length	domain_status	domain_score	domain_evalue	model_coverage	domain_pass	constraint_score	conserved_sites_total	conserved_sites_covered	conserved_sites_matched	conservation_coverage	conservation_score	closest_reference_id	closest_reference_pident	closest_reference_effective_identity	closest_reference_query_coverage	closest_reference_target_coverage	closest_reference_evalue	novelty_score	uniqueness_score	nearest_candidate_id	nearest_candidate_identity	nearest_candidate_distance	sequence_evalue	sequence_score	hmm_from	hmm_to	alignment_from	alignment_to	pareto_rank	crowding_distance
1	gen_101	71	detected	59.3	3.1e-18	1	True	0.8971291866	23	23	22	1	0.9565217391	ref_000861	0.90141	0.90141	1	1	4.32e-42	0.09859	0.930038423	gen_161	0.7887338028	0.2112661972	2.3e-18	59.8	1	39	11	49	0	inf
2	gen_167	512	not_detected	0	1000	0	False	0	23	19	4	0.8260869565	0.1739130435	ref_000078	0.33333	0.03906210937	0.1171875	0.6896551724	754	0.9609378906	0.9812441051	gen_2	0.08984396484	0.9101560352							0	inf
3	gen_194	99	detected	56.8	2e-17	1	True	0.7105263158	23	23	23	1	1	ref_000329	0.76289	0.7474780808	0.9797979798	1.010416667	1.31e-44	0.2525219192	0.9367923096	gen_142	0.6565687879	0.3434312121	1.3e-17	57.3	1	39	10	48	0	inf
4	gen_2	345	not_detected	0	1000	0	False	0	23	18	5	0.7826086957	0.2173913043	ref_000683	0.23214	0.03768069565	0.1623188406	0.7567567568	573	0.9623193043	0.9625591708	gen_105	0.8058	0.1942							0	inf
5	gen_55	94	not_detected	0	1000	0	False	0	23	23	11	1	0.4782608696	ref_000170	0.31707	0.2765929787	0.8723404255	0.9425287356	474	0.7234070213	0.9880429692	gen_195	0.1382985106	0.8617014894							0	inf
6	gen_95	104	detected	62.1	4.4e-19	0.9743589744	True	0.9928229665	23	21	12	0.9130434783	0.5217391304	ref_000436	0.43333	0.3749971154	0.8653846154	1.046511628	7.01e-13	0.6250028846	0.8179157361	gen_51	0.4038461538	0.5961538462	3e-19	62.6	1	38	11	48	0	inf
7	gen_123	120	detected	50.5	1.8e-15	1	True	0.3301435407	23	23	23	1	1	ref_001104	0.64545	0.5819631148	0.9166666667	0.9016393443	9.62e-37	0.4180368852	0.9196361305	gen_97	0.4632352941	0.5367647059	1.2e-15	51.1	1	39	18	56	0	1.012568382
8	gen_199	120	detected	59.3	3.2e-18	1	True	0.8971291866	23	21	13	0.9130434783	0.5652173913	ref_000864	0.73418	0.4833351667	0.6583333333	0.7117117117	6.21e-36	0.5166648333	0.9448730583	gen_56	0.4500026667	0.5499973333	2.4e-18	59.7	1	39	20	58	0	0.5176976082
9	gen_39	71	detected	55.6	4.6e-17	1	True	0.6220095694	23	23	20	1	0.8695652174	ref_000626	0.74242	0.6805516667	0.9295774648	0.9166666667	7.37e-30	0.3194483333	0.9332887464	gen_101	0.6338049296	0.3661950704	3.7e-17	55.9	1	39	11	49	0	0.5132208146
10	gen_115	127	detected	45.5	6.6e-14	0.9743589744	True	0.1818181818	23	23	18	1	0.7826086957	ref_001050	0.62651	0.4094514173	0.6535433071	0.7685185185	1.79e-26	0.5905485827	0.9551945312	gen_123	0.3464567717	0.6535432283	4.7e-14	46	2	39	12	49	0	0.5063567474
11	gen_71	84	detected	53.4	2.2e-16	1	True	0.4593301435	23	21	9	0.9130434783	0.3913043478	ref_001221	0.48936	0.2738085714	0.5595238095	0.5662650602	2.17e-12	0.7261914286	0.9368854418	gen_139	0.4725237363	0.5274762637	1.8e-16	53.7	1	39	29	67	0	0.3374209934
12	gen_113	301	not_detected	0	1000	0	False	0	23	21	8	0.9130434783	0.347826087	ref_000268	0.25743	0.08638016611	0.3355481728	1.02020202	202	0.9136198339	0.9784135981	gen_168	0.2622920656	0.7377079344							0	0.3300613763
13	gen_56	103	detected	58.2	7.2e-18	1	True	0.8062200957	23	21	11	0.9130434783	0.4782608696	ref_000864	0.6875	0.3963963964	0.6213592233	0.5765765766	2.4e-30	0.6036036036	0.9510921176	gen_199	0.4500026667	0.5499973333	5.7e-18	58.5	1	39	11	49	0	0.2886288241
14	gen_35	155	detected	43.5	2.8e-13	1	True	0.1244019139	23	23	22	1	0.9565217391	ref_001033	0.81046	0.8000024516	0.9870967742	0.9935064935	1.63e-74	0.1999975484	0.9410965946	gen_118	0.717945	0.282055	2e-13	44	1	39	19	57	0	0.2622904422
15	gen_104	74	detected	35.6	8.3e-11	0.6923076923	False	0.003486817891	23	14	6	0.6086956522	0.2608695652	ref_000163	0.47222	0.2297286486	0.4864864865	0.5142857143	0.078	0.7702713514	0.9443459921	gen_94	0.3108105405	0.6891894595	5.6e-11	36.1	1	27	2	28	0	0.2426244412
16	gen_40	136	detected	46.8	2.6e-14	0.9743589744	True	0.2344497608	23	23	23	1	1	ref_001168	0.73913	0.728571	1.014705882	0.9857142857	1.81e-53	0.271429	0.9403047276	gen_68	0.5103468276	0.4896531724	1.9e-14	47.3	2	39	19	56	0	0.225491291
17	gen_189	77	detected	50.4	1.9e-15	0.8974358974	False	0.3050965655	23	20	10	0.8695652174	0.4347826087	ref_000826	0.34247	0.3246793506	0.9480519481	1.013888889	4.65e-05	0.6753206494	0.9532856651	gen_129	0.3896135065	0.6103864935	1.5e-15	50.8	5	39	16	50	0	0.1989438434
18	gen_13	89	detected	44.5	1.4e-13	0.9487179487	False	0.1576816535	23	20	7	0.8695652174	0.3043478261	ref_000219	0.31818	0.2359537079	0.7415730337	0.7764705882	0.59	0.7640462921	0.9341694917	gen_139	0.4725274725	0.5274725275	9.8e-14	45	2	38	24	60	0	0.1965154245
19	gen_48	347	not_detected	0	1000	0	False	0	23	17	12	0.7391304348	0.5217391304	ref_000775	0.27381	0.06628253602	0.242074928	0.9655172414	850	0.933717464	0.966239433	gen_59	0.3832862248	0.6167137752							0	0.1808731515
20	gen_129	73	detected	54.8	8.6e-17	0.9743589744	True	0.5693779904	23	21	8	0.9130434783	0.347826087	ref_000722	0.45161	0.3835591781	0.8493150685	0.8857142857	3.56e-08	0.6164408219	0.9536316445	gen_139	0.4285730769	0.5714269231	6.6e-17	55.1	2	39	22	59	0	0.1748462607
21	gen_91	83	detected	39.2	6.4e-12	0.9230769231	False	0.0116227263	23	19	10	0.8260869565	0.4347826087	ref_001221	0.39062	0.3012009639	0.7710843373	0.7710843373	9.22e-08	0.6987990361	0.9485781623	gen_71	0.34524	0.65476	5e-12	39.5	1	36	37	70	0	0.1557422994
22	gen_118	156	detected	43.1	3.6e-13	1	True	0.0980861244	23	23	22	1	0.9565217391	ref_000954	0.87742	0.8717955128	0.9935897436	1	7.35e-79	0.1282044872	0.9458818477	gen_76	0.7435875	0.2564125	2.7e-13	43.5	1	39	19	57	0	0.1525305953
23	gen_142	87	detected	54.1	1.3e-16	1	True	0.509569378	23	23	22	1	0.9565217391	ref_000225	0.82927	0.7391319565	0.9425287356	0.8913043478	1.32e-44	0.2608680435	0.9334196015	gen_194	0.6565687879	0.3434312121	9.9e-17	54.6	1	39	10	48	0	0.1512181747
24	gen_161	70	detected	60.1	1.8e-18	1	True	0.9425837321	23	23	23	1	1	ref_001083	0.87143	0.8243256757	1	0.9459459459	2.05e-38	0.1756743243	0.9268512956	gen_101	0.7887338028	0.2112661972	1.4e-18	60.4	1	39	11	49	0	0.1417347761
25	gen_42	84	detected	60.9	1e-18	1	True	0.980861244	23	23	23	1	1	ref_000741	0.85714	0.85714	1	1	1.04e-48	0.14286	0.9249067943	gen_173	0.8488395349	0.1511604651	8e-19	61.3	1	39	11	49	0	0.1374690393
26	gen_102	119	detected	45	9.5e-14	0.9487179487	False	0.1720163493	23	21	12	0.9130434783	0.5217391304	ref_001160	0.40496	0.3602952941	1.016806723	0.8897058824	2.8e-18	0.6397047059	0.9464668782	gen_95	0.3697478992	0.6302521008	7.1e-14	45.4	2	38	28	64	0	0.1305981218
27	gen_68	145	detected	46.2	4e-14	0.9743589744	True	0.1961722488	23	23	23	1	1	ref_001168	0.73913	0.7034478621	0.9517241379	0.9857142857	7.55e-58	0.2965521379	0.9406000018	gen_40	0.5103468276	0.4896531724	2.9e-14	46.7	2	39	18	55	0	0.1132619561
28	gen_32	104	detected	33.1	5e-10	0.8974358974	False	0.004519949118	23	19	6	0.8260869565	0.2608695652	ref_000279	0.29885	0.2499995192	0.8365384615	1.011627907	7.7	0.7500004808	0.9558348027	gen_102	0.2436957983	0.7563042017	2.8e-10	33.9	3	37	19	50	0	0.108081413
29	gen_29	366	not_detected	0	1000	0	False	0	23	15	5	0.652173913	0.2173913043	ref_000864	0.28571	0.05464398907	0.1912568306	0.6306306306	23	0.9453560109	0.9819200921	gen_171	0.05737759563	0.9426224044							0	0.1067421528
30	gen_45	319	not_detected	0	1000	0	False	0	23	22	10	0.9565217391	0.4347826087	ref_001011	0.4375	0.04388714734	0.1003134796	0.237037037	84	0.9561128527	0.9616740998	gen_59	0.4984333542	0.5015666458							0	0.1033788212
31	gen_58	104	detected	32.1	1e-09	0.9230769231	False	0.004649090522	23	21	13	0.9130434783	0.5652173913	ref_000864	0.5	0.3423423423	0.7307692308	0.6846846847	4.45e-17	0.6576576577	0.9533754891	gen_199	0.3499986667	0.6500013333	3.6e-10	33.5	2	37	14	49	0	0.1030544282
32	gen_41	303	not_detected	0	1000	0	False	0	23	17	11	0.7391304348	0.4782608696	ref_000957	0.28814	0.05610646865	0.1947194719	0.446969697	108	0.9438935314	0.9569948182	gen_59	0.4666631746	0.5333368254							0	0.100429459
33	gen_76	155	detected	43.2	3.6e-13	1	True	0.1028708134	23	23	22	1	0.9565217391	ref_001038	0.83117	0.8258076129	0.9935483871	0.9935483871	1.52e-76	0.1741923871	0.9427858595	gen_118	0.7435875	0.2564125	2.7e-13	43.6	1	39	19	57	0	0.0835972774
34	gen_97	136	detected	54.4	1.1e-16	1	True	0.5358851675	23	23	23	1	1	ref_001111	0.73723	0.7426508088	1.007352941	1.007352941	3.81e-55	0.2573491912	0.9253563546	gen_40	0.4852958824	0.5147041176	7.9e-17	54.9	1	39	24	62	0	0.08133354593
35	gen_94	74	detected	34.2	2.3e-10	0.8974358974	False	0.004519949118	23	21	10	0.9130434783	0.4347826087	ref_000717	0.40351	0.3108117568	0.7702702703	0.7916666667	1.05e-06	0.6891882432	0.9502117763	gen_129	0.3378405405	0.6621594595	1.5e-10	34.8	1	35	20	54	0	0.04208956308
36	gen_14	294	not_detected	0	1000	0	False	0	23	21	12	0.9130434783	0.5217391304	ref_000675	0.39623	0.07142921769	0.1802721088	0.630952381	188	0.9285707823	0.9466863159	gen_59	0.2412685714	0.7587314286							1	inf
37	gen_146	307	not_detected	0	1000	0	False	0	23	19	4	0.8260869565	0.1739130435	ref_001142	0.28767	0.06840361564	0.2377850163	0.5328467153	15	0.9315963844	0.9768756682	gen_2	0.1188397681	0.8811602319							1	inf
38	gen_173	86	detected	55.9	3.7e-17	1	True	0.6578947368	23	23	23	1	1	ref_001070	0.88372	0.88372	1	1	3.58e-51	0.11628	0.915110892	gen_6	0.88372	0.11628	2.9e-17	56.3	1	39	11	49	1	inf
39	gen_179	87	detected	54.8	8.3e-17	1	True	0.5693779904	23	23	23	1	1	ref_000674	0.88636	0.896548046	1.011494253	1.011494253	1.56e-48	0.103451954	0.9164595539	gen_67	0.8043494565	0.1956505435	8.3e-17	54.8	1	39	11	49	1	inf
40	gen_6	86	detected	59.2	3.5e-18	1	True	0.8875598086	23	23	23	1	1	ref_001077	0.93023	0.93023	1	1	3.65e-55	0.06977	0.9182489006	gen_173	0.88372	0.11628	2.7e-18	59.5	1	39	11	49	1	inf
41	gen_72	512	not_detected	0	1000	0	False	0	23	18	5	0.7826086957	0.2173913043	ref_001201	0.28409	0.04882796875	0.171875	0.6111111111	306	0.9511720313	0.9598578751	gen_187	0.6464822266	0.3535177734							1	inf
42	gen_139	91	detected	47.3	1.9e-14	0.9743589744	True	0.2464114833	23	21	9	0.9130434783	0.3913043478	ref_000257	0.35052	0.3434387879	1.065934066	0.9797979798	5.74e-05	0.6565612121	0.9292224883	gen_13	0.4725274725	0.5274725275	1.3e-14	47.8	1	38	23	60	1	1.474503705
43	gen_44	70	detected	56.6	2.3e-17	1	True	0.7057416268	23	23	22	1	0.9565217391	ref_000685	0.88571	0.88571	1	1	6.86e-41	0.11429	0.9329328847	gen_161	0.7857185714	0.2142814286	1.8e-17	56.9	1	39	11	49	1	1.099968545
44	gen_109	86	detected	53.1	2.9e-16	1	True	0.4377990431	23	23	23	1	1	ref_000435	0.8046	0.8046	1.011627907	1	2.07e-45	0.1954	0.9159244081	gen_6	0.7907	0.2093	2.2e-16	53.5	1	39	11	49	1	0.7670072977
45	gen_119	337	not_detected	0	1000	0	False	0	23	13	7	0.5652173913	0.3043478261	ref_000933	0.29252	0.1275977448	0.4362017804	0.9545454545	92	0.8724022552	0.9692796757	gen_45	0.3264141246	0.6735858754							1	0.5775981374
46	gen_67	92	detected	53.1	2.8e-16	1	True	0.4377990431	23	23	23	1	1	ref_000778	0.89888	0.8695686957	0.9673913043	1	2.08e-51	0.1304313043	0.9262695714	gen_179	0.8043494565	0.1956505435	2.1e-16	53.5	1	39	11	49	1	0.4554922602
47	gen_186	395	not_detected	0	1000	0	False	0	23	18	7	0.7826086957	0.3043478261	ref_000070	0.28571	0.06075858228	0.2126582278	0.976744186	152	0.9392414177	0.9598926587	gen_33	0.4771778216	0.5228221784							1	0.3711372599
48	gen_30	288	not_detected	0	1000	0	False	0	23	18	8	0.7826086957	0.347826087	ref_000981	0.38462	0.06944527778	0.1805555556	0.3586206897	588	0.9305547222	0.9614048579	gen_93	0.3888857292	0.6111142708							1	0.2414069141
49	gen_92	89	detected	56.3	2.8e-17	1	True	0.6889952153	23	23	23	1	1	ref_000029	0.89888	0.89888	1	1.022988506	1.17e-49	0.10112	0.9199520424	gen_173	0.8651710112	0.1348289888	2.2e-17	56.7	1	39	11	49	1	0.2219807515
50	gen_124	282	not_detected	0	1000	0	False	0	23	13	6	0.5652173913	0.2608695652	ref_000869	0.51852	0.04964553191	0.09574468085	0.375	26	0.9503544681	0.9532065763	gen_59	0.3714311111	0.6285688889							1	0.2139872461
