sequence_id	pool	accession	accession_base	model_name	env_start_1based	env_end_1based	bit_score	i_evalue	hmm_start_1based	hmm_end_1based	hmm_length	hmm_span_fraction	reference_sequences_with_accession
vae_candidate_000001	main_supported_gvpa	PF00741.24	PF00741	Gas_vesicle	12	50	60.29562759399414	1.0688254150928893e-17	1	39	39	1.0	346
vae_candidate_000002	excluded	PF00741.24	PF00741	Gas_vesicle	20	58	58.571903228759766	3.694386151128112e-17	1	39	39	1.0	346
vae_candidate_000003	excluded	PF00741.24	PF00741	Gas_vesicle	31	67	49.954345703125	1.8213243266331545e-14	4	39	39	0.9230769230769231	346
vae_candidate_000005	excluded	PF00741.24	PF00741	Gas_vesicle	10	48	56.08680725097656	2.2084822355459013e-16	1	39	39	1.0	346
vae_candidate_000006	excluded	PF00741.24	PF00741	Gas_vesicle	9	47	57.987056732177734	5.627262820020726e-17	1	39	39	1.0	346
vae_candidate_000009	excluded	PF00741.24	PF00741	Gas_vesicle	23	59	56.312618255615234	1.8772913758614e-16	1	36	39	0.9230769230769231	346
vae_candidate_000011	excluded	PF00741.24	PF00741	Gas_vesicle	16	54	54.57891845703125	6.535583374633173e-16	1	39	39	1.0	346
vae_candidate_000012	excluded	PF00741.24	PF00741	Gas_vesicle	43	76	32.65691375732422	4.629672756588448e-09	9	39	39	0.7948717948717948	346
vae_candidate_000013	excluded	PF00741.24	PF00741	Gas_vesicle	19	57	44.50056838989258	9.217284759464714e-13	1	39	39	1.0	346
vae_candidate_000014	excluded	PF00741.24	PF00741	Gas_vesicle	57	99	49.08525085449219	3.403808631183505e-14	5	39	39	0.8974358974358975	346
vae_candidate_000015	excluded	PF00741.24	PF00741	Gas_vesicle	14	56	25.72234535217285	6.799686246875673e-07	1	39	39	1.0	346
vae_candidate_000018	main_supported_gvpa	PF00741.24	PF00741	Gas_vesicle	12	52	48.92518997192383	3.8192802636008755e-14	1	39	39	1.0	346
vae_candidate_000020	main_supported_gvpa	PF00741.24	PF00741	Gas_vesicle	12	54	45.85029220581055	3.490089066036301e-13	1	39	39	1.0	346
vae_candidate_000023	excluded	PF00741.24	PF00741	Gas_vesicle	12	47	34.81142807006836	9.824263567323423e-10	1	34	39	0.8717948717948718	346
vae_candidate_000023	excluded	PF00741.24	PF00741	Gas_vesicle	45	83	48.8172721862793	4.127661378400632e-14	2	39	39	0.9743589743589743	346
vae_candidate_000024	excluded	PF00741.24	PF00741	Gas_vesicle	8	46	55.2878532409668	3.9242249858370424e-16	1	39	39	1.0	346
vae_candidate_000025	excluded	PF00741.24	PF00741	Gas_vesicle	11	39	36.46921920776367	2.9803518549005854e-10	1	28	39	0.717948717948718	346
vae_candidate_000026	excluded	PF00741.24	PF00741	Gas_vesicle	12	40	25.109066009521484	1.0571304492629544e-06	1	28	39	0.717948717948718	346
vae_candidate_000027	excluded	PF00741.24	PF00741	Gas_vesicle	13	50	40.13447189331055	2.1327323392710883e-11	8	39	39	0.8205128205128205	346
vae_candidate_000028	excluded	PF00741.24	PF00741	Gas_vesicle	12	46	43.311702728271484	2.1682231236211065e-12	6	39	39	0.8717948717948718	346
vae_candidate_000029	main_supported_gvpa	PF00741.24	PF00741	Gas_vesicle	11	49	59.65385437011719	1.6960956873349977e-17	1	39	39	1.0	346
vae_candidate_000030	excluded	PF00741.24	PF00741	Gas_vesicle	35	70	42.97218322753906	2.76820489288984e-12	3	31	39	0.7435897435897436	346
