sequence_id	sequence_sha256	sequence_length	pf00741_status	pf00741_score	pf00741_sequence_score	pf00741_coverage	best_family	best_family_score	second_family	second_family_score	family_margin	best_model_coverage	best_query_coverage	family_status	classification_reason	gvpa_score	gvpj_score	hmm_family_status	similarity_best_family	similarity_best_reference	similarity_effective_identity	similarity_query_coverage	similarity_target_coverage	similarity_second_family	similarity_second_identity	similarity_margin	control_type	expected_family	fold	parent_id	source_accessions	source_headers	review_action
nat_14b8d1a3240d87319476	14b8d1a3240d87319476ab4c8dd5f122b42ed51a1bfb6ca5d4b7b3d6668363c1	91	pass	61.1	61.5	1.0	gvpa	121.6	gvpj	56.7	64.89999999999999	0.8148148148148148	0.7252747252747253	supported_gvpa	pf00741_and_competitive_gvpa_support;competitive_sequence_agreement	121.6	56.7	supported_gvpa	gvpa	nat_353e9d0dff81158687ff	0.9230769230769231	1.0	1.0	gvpj	0.6813186813186813	0.2417582417582418	natural_heldout	gvpj	0	nat_14b8d1a3240d87319476	WP_435763343.1	WP_435763343.1 gas vesicle protein GvpJ [Oceanobacillus sp. CF4.6]	check_database_annotation_and_gene_neighborhood;do_not_auto_relabel
nat_0e04889ea449c11132b4	0e04889ea449c11132b46b6d3cc08adbd373bf5f1465f50ae1a2ca651ea7675f	73	pass	56.5	56.8	0.9743589743589743	gvpa	120.0	gvpj	51.1	68.9	0.8518518518518519	0.9452054794520548	supported_gvpa	pf00741_and_competitive_gvpa_support;competitive_sequence_agreement	120.0	51.1	supported_gvpa	gvpa	nat_731f8990c8cbea086350	0.9178082191780822	0.9726027397260274	0.9726027397260274	gvpj	0.6986301369863014	0.2191780821917808	natural_heldout	gvpj	0	nat_0e04889ea449c11132b4	WP_434971879.1	WP_434971879.1 gas vesicle protein GvpJ [Longibacter sp.]	check_database_annotation_and_gene_neighborhood;do_not_auto_relabel
nat_ff9c5d10b21ed7b06913	ff9c5d10b21ed7b06913f77b234631b63ecb3f97c32cc95c79e1808c84902994	91	pass	55.4	55.8	0.9743589743589743	gvpa	115.9	gvpj	51.9	64.0	0.8271604938271605	0.7362637362637363	supported_gvpa	pf00741_and_competitive_gvpa_support;competitive_sequence_agreement	115.9	51.9	supported_gvpa	gvpa	nat_044a3e6477173de21b19	0.8571428571428571	0.967032967032967	0.9888888888888889	gvpj	0.74	0.1171428571428571	natural_heldout	gvpj	0	nat_ff9c5d10b21ed7b06913	WP_443127555.1	WP_443127555.1 gas vesicle protein GvpJ [Gracilibacillus sp. D59]	check_database_annotation_and_gene_neighborhood;do_not_auto_relabel
nat_2afc6fb850c8bc89b0f2	2afc6fb850c8bc89b0f23386d755bad743934c721099ea236eeae1863cbb4f22	80	pass	59.1	59.4	1.0	gvpa	134.6	gvpj	58.0	76.6	0.8641975308641975	0.875	supported_gvpa	pf00741_and_competitive_gvpa_support;competitive_sequence_agreement	134.6	58.0	supported_gvpa	gvpa	nat_8be2e14f0153cb01c7e8	0.85	0.8875	0.9594594594594594	gvpj	0.7	0.15000000000000002	natural_heldout	gvpj	0	nat_2afc6fb850c8bc89b0f2	WP_441007279.1	WP_441007279.1 gas vesicle protein GvpJ [Microcystis aeruginosa]	check_database_annotation_and_gene_neighborhood;do_not_auto_relabel
nat_6d995d9db67c9b27bce8	6d995d9db67c9b27bce8b5a79af86b4e60b0c43be0baa5c543e8e8dd085dc7b3	72	pass	59.2	59.6	1.0	gvpa	135.6	gvpj	52.1	83.5	0.8765432098765432	0.9861111111111112	supported_gvpa	pf00741_and_competitive_gvpa_support;competitive_sequence_agreement	135.6	52.1	supported_gvpa	gvpa	nat_b1857f03b52d3c765ea4	0.9315068493150684	1.0	0.9863013698630136	gvpj	0.7733333333333333	0.15817351598173512	natural_heldout	gvpj	0	nat_6d995d9db67c9b27bce8	WP_439345357.1	WP_439345357.1 gas vesicle protein GvpJ [Vacuolonema iberomarrocanum]	check_database_annotation_and_gene_neighborhood;do_not_auto_relabel
nat_375409e47c121ca81b85	375409e47c121ca81b85e91a4727700b9170b3cb9a5825557448f0be25b0530a	85	pass	56.0	56.3	1.0	gvpa	123.0	gvpj	52.4	70.6	0.8518518518518519	0.8117647058823529	supported_gvpa	pf00741_and_competitive_gvpa_support;competitive_sequence_agreement	123.0	52.4	supported_gvpa	gvpa	nat_68131976059d25a80b19	0.8837209302325582	1.0	1.0	gvpj	0.8255813953488372	0.05813953488372092	natural_heldout	gvpj	0	nat_375409e47c121ca81b85	WP_439300212.1	WP_439300212.1 gas vesicle protein GvpJ [Pseudalkalibacillus sp. Hm43]	check_database_annotation_and_gene_neighborhood;do_not_auto_relabel
nat_c8057d4884d2825dccf9	c8057d4884d2825dccf91f0ad8b0897964392e32dd9167237ec07ae2e68ffbff	96	pass	59.8	60.2	1.0	gvpa	121.5	gvpj	54.4	67.1	0.8148148148148148	0.6875	supported_gvpa	pf00741_and_competitive_gvpa_support;competitive_sequence_agreement	121.5	54.4	supported_gvpa	gvpa	nat_0f2a8f05ef1200c5dc0c	0.9587628865979382	1.0	1.0	gvpj	0.87	0.08876288659793818	natural_heldout	gvpj	0	nat_c8057d4884d2825dccf9	WP_160913461.1	WP_160913461.1 MULTISPECIES: gas vesicle protein GvpJ [Halobacillus]	check_database_annotation_and_gene_neighborhood;do_not_auto_relabel
nat_25e574f58ba93dcb64e2	25e574f58ba93dcb64e244844e8a42aeeac97b7d3b7afe8cf84a134689d528eb	91	pass	58.8	59.2	1.0	gvpa	122.3	gvpj	53.0	69.3	0.8148148148148148	0.7252747252747253	supported_gvpa	pf00741_and_competitive_gvpa_support;competitive_sequence_agreement	122.3	53.0	supported_gvpa	gvpa	nat_353e9d0dff81158687ff	0.8791208791208791	0.978021978021978	0.978021978021978	gvpj	0.7032967032967034	0.17582417582417575	natural_heldout	gvpj	0	nat_25e574f58ba93dcb64e2	WP_094886142.1	WP_094886142.1 gas vesicle protein GvpJ [Virgibacillus indicus]	check_database_annotation_and_gene_neighborhood;do_not_auto_relabel
nat_40571a78567e238ce9c6	40571a78567e238ce9c66512af53be557688721acabbf0a07b677c53bc9e332a	88	pass	57.3	57.7	0.9743589743589743	gvpa	117.3	gvpj	54.7	62.599999999999994	0.8148148148148148	0.75	supported_gvpa	pf00741_and_competitive_gvpa_support;competitive_sequence_agreement	117.3	54.7	supported_gvpa	gvpa	nat_d90ba4fc5295a2ed9e09	0.8351648351648352	0.9659090909090909	0.9340659340659341	gvpj	0.7272727272727273	0.1078921078921079	natural_heldout	gvpj	0	nat_40571a78567e238ce9c6	WP_443256761.1	WP_443256761.1 gas vesicle protein GvpJ [Virgibacillus sp. L01]	check_database_annotation_and_gene_neighborhood;do_not_auto_relabel
nat_fde7addd3bf07688f196	fde7addd3bf07688f196fd2d1b7828f2e37d49cc249524d4fc1e1f4fcf3aac7e	87	pass	48.1	48.1	1.0	gvpa	105.2	gvpj	44.1	61.1	0.8765432098765432	0.8160919540229885	supported_gvpa	pf00741_and_competitive_gvpa_support;competitive_sequence_agreement	105.2	44.1	supported_gvpa	gvpa	nat_805855d37a367a5867e3	0.6666666666666666	0.8275862068965517	0.8	gvpj	0.5057471264367817	0.16091954022988497	natural_heldout	gvpj	0	nat_fde7addd3bf07688f196	WP_256227925.1	WP_256227925.1 gas vesicle protein GvpJ [Fictibacillus sp. WQ 8-8]	check_database_annotation_and_gene_neighborhood;do_not_auto_relabel
nat_741da9de60585bc38db1	741da9de60585bc38db1162d556d959ecdec384033cf5aa5d754f8aa623f903d	86	pass	58.0	58.4	1.0	gvpa	125.6	gvpj	53.8	71.8	0.8395061728395061	0.7906976744186046	supported_gvpa	pf00741_and_competitive_gvpa_support;competitive_sequence_agreement	125.6	53.8	supported_gvpa	gvpa	nat_667b333e161105876fb2	0.8953488372093024	0.9883720930232558	0.9880952380952381	gvpj	0.8255813953488372	0.06976744186046513	natural_heldout	gvpj	0	nat_741da9de60585bc38db1	WP_101642268.1	WP_101642268.1 gas vesicle protein GvpJ [Peribacillus deserti]	check_database_annotation_and_gene_neighborhood;do_not_auto_relabel
nat_22c9ea68da69251de7cc	22c9ea68da69251de7cc24b04369e80d647f45b4a78bc26d0be6b2c12e748b32	75	pass	56.3	56.7	1.0	gvpa	108.4	gvpj	48.1	60.300000000000004	0.7777777777777778	0.84	supported_gvpa	pf00741_and_competitive_gvpa_support;competitive_sequence_agreement	108.4	48.1	supported_gvpa	gvpa	nat_10816d30b94e7e319ed1	0.52	0.7466666666666667	0.7733333333333333	gvpj	0.4666666666666667	0.053333333333333344	natural_heldout	gvpj	0	nat_22c9ea68da69251de7cc	WP_114298883.1	WP_114298883.1 gas vesicle protein GvpJ [Anaerobacterium chartisolvens]	check_database_annotation_and_gene_neighborhood;do_not_auto_relabel
nat_7c474a0845fc63bd9dc1	7c474a0845fc63bd9dc16a8a419c1adfdadef26e7c691d51e6f9cc26000044e3	115	pass	49.0	49.7	0.9487179487179487	gvpa	124.2	gvpj	30.9	93.30000000000001	0.8842975206611571	0.9739130434782609	supported_gvpa	pf00741_and_competitive_gvpa_support;competitive_sequence_agreement	124.2	30.9	supported_gvpa	gvpa	nat_194654d9295b42cca4e2	0.6639344262295082	0.9826086956521739	0.9098360655737705	gvpj	0.6	0.06393442622950818	natural_heldout	gvpj	1	nat_7c474a0845fc63bd9dc1	WP_256714828.1	WP_256714828.1 gas vesicle protein GvpJ [Mycobacterium colombiense]	check_database_annotation_and_gene_neighborhood;do_not_auto_relabel
nat_5e7091515d82b50cbd50	5e7091515d82b50cbd500e881e7ec47c6a494f19a8d82a311cd3b3961eb4adb2	88	pass	55.9	56.3	1.0	gvpa	133.7	gvpj	50.7	82.99999999999999	0.6776859504132231	0.9318181818181818	supported_gvpa	pf00741_and_competitive_gvpa_support;competitive_sequence_agreement	133.7	50.7	supported_gvpa	gvpa	nat_351862cb01754fd1ab98	0.8068181818181818	1.0	1.0	gvpj	0.6818181818181818	0.125	natural_heldout	gvpj	1	nat_5e7091515d82b50cbd50	WP_164214962.1	WP_164214962.1 gas vesicle protein GvpJ [Virgibacillus sp. YIM 98842]	check_database_annotation_and_gene_neighborhood;do_not_auto_relabel
