query_id	target_id	query_length	target_length	alignment_score	alignment_length	aligned_pairs	identical_residues	identity	query_coverage	target_coverage	effective_identity	distance	distance_status	distance_reason
vae_candidate_000001	vae_candidate_000018	84	98	224.0	98	84	54	0.6428571428571429	1.0	0.8571428571428571	0.5510204081632653	0.44897959183673475	resolved	
vae_candidate_000001	vae_candidate_000020	84	107	295.0	107	84	73	0.8690476190476191	1.0	0.7850467289719626	0.6822429906542056		unresolved	low_target_coverage
vae_candidate_000001	vae_candidate_000029	84	90	293.5	92	82	66	0.8048780487804879	0.9761904761904762	0.9111111111111111	0.7333333333333333	0.2666666666666667	resolved	
vae_candidate_000001	vae_candidate_000032	84	97	207.5	97	84	51	0.6071428571428571	1.0	0.865979381443299	0.5257731958762887	0.4742268041237113	resolved	
vae_candidate_000001	vae_candidate_000034	84	92	272.0	96	80	64	0.8	0.9523809523809523	0.8695652173913043	0.6956521739130435	0.30434782608695654	resolved	
vae_candidate_000001	vae_candidate_000050	84	70	259.0	84	70	57	0.8142857142857143	0.8333333333333334	1.0	0.6785714285714286	0.3214285714285714	resolved	
vae_candidate_000001	vae_candidate_000058	84	86	264.0	88	82	58	0.7073170731707317	0.9761904761904762	0.9534883720930233	0.6744186046511628	0.32558139534883723	resolved	
vae_candidate_000001	vae_candidate_000061	84	110	121.0	113	81	38	0.4691358024691358	0.9642857142857143	0.7363636363636363	0.34545454545454546		unresolved	low_target_coverage
vae_candidate_000001	vae_candidate_000065	84	81	264.0	87	78	63	0.8076923076923077	0.9285714285714286	0.9629629629629629	0.75	0.25	resolved	
vae_candidate_000001	vae_candidate_000070	84	91	286.0	95	80	67	0.8375	0.9523809523809523	0.8791208791208791	0.7362637362637363	0.2637362637362637	resolved	
vae_candidate_000001	vae_candidate_000088	84	101	252.5	101	84	63	0.75	1.0	0.8316831683168316	0.6237623762376238	0.37623762376237624	resolved	
vae_candidate_000001	vae_candidate_000090	84	93	276.5	93	84	59	0.7023809523809523	1.0	0.9032258064516129	0.6344086021505376	0.3655913978494624	resolved	
vae_candidate_000001	vae_candidate_000095	84	121	216.5	122	83	60	0.7228915662650602	0.9880952380952381	0.6859504132231405	0.49586776859504134		unresolved	low_target_coverage
vae_candidate_000001	vae_candidate_000108	84	108	223.5	113	79	59	0.7468354430379747	0.9404761904761905	0.7314814814814815	0.5462962962962963		unresolved	low_target_coverage
vae_candidate_000001	vae_candidate_000118	84	70	238.0	84	70	55	0.7857142857142857	0.8333333333333334	1.0	0.6547619047619048	0.34523809523809523	resolved	
vae_candidate_000001	vae_candidate_000121	84	96	273.0	97	83	65	0.7831325301204819	0.9880952380952381	0.8645833333333334	0.6770833333333334	0.32291666666666663	resolved	
vae_candidate_000001	vae_candidate_000128	84	117	264.5	119	82	66	0.8048780487804879	0.9761904761904762	0.7008547008547008	0.5641025641025641		unresolved	low_target_coverage
vae_candidate_000001	vae_candidate_000133	84	102	265.0	104	82	63	0.7682926829268293	0.9761904761904762	0.803921568627451	0.6176470588235294	0.38235294117647056	resolved	
vae_candidate_000001	vae_candidate_000135	84	93	311.5	93	84	67	0.7976190476190477	1.0	0.9032258064516129	0.7204301075268817	0.27956989247311825	resolved	
vae_candidate_000001	vae_candidate_000136	84	95	279.0	99	80	64	0.8	0.9523809523809523	0.8421052631578947	0.6736842105263158	0.3263157894736842	resolved	
vae_candidate_000001	vae_candidate_000140	84	108	239.0	111	81	60	0.7407407407407407	0.9642857142857143	0.75	0.5555555555555556		unresolved	low_target_coverage
vae_candidate_000001	vae_candidate_000143	84	92	198.0	97	79	47	0.5949367088607594	0.9404761904761905	0.8586956521739131	0.5108695652173914	0.48913043478260865	resolved	
vae_candidate_000001	vae_candidate_000149	84	121	223.5	124	81	60	0.7407407407407407	0.9642857142857143	0.6694214876033058	0.49586776859504134		unresolved	low_target_coverage
vae_candidate_000001	vae_candidate_000151	84	73	219.5	86	71	52	0.7323943661971831	0.8452380952380952	0.9726027397260274	0.6190476190476191	0.38095238095238093	resolved	
vae_candidate_000001	vae_candidate_000153	84	104	192.0	108	80	52	0.65	0.9523809523809523	0.7692307692307693	0.5		unresolved	low_target_coverage
vae_candidate_000001	vae_candidate_000157	84	99	308.5	99	84	68	0.8095238095238095	1.0	0.8484848484848485	0.6868686868686869	0.31313131313131315	resolved	
vae_candidate_000001	vae_candidate_000160	84	121	248.5	122	83	65	0.7831325301204819	0.9880952380952381	0.6859504132231405	0.5371900826446281		unresolved	low_target_coverage
vae_candidate_000001	vae_candidate_000179	84	91	234.0	91	84	54	0.6428571428571429	1.0	0.9230769230769231	0.5934065934065934	0.4065934065934066	resolved	
vae_candidate_000001	vae_candidate_000191	84	94	259.0	96	82	61	0.7439024390243902	0.9761904761904762	0.8723404255319149	0.648936170212766	0.35106382978723405	resolved	
vae_candidate_000001	vae_candidate_000200	84	88	272.5	90	82	61	0.7439024390243902	0.9761904761904762	0.9318181818181818	0.6931818181818182	0.30681818181818177	resolved	
vae_candidate_000001	vae_candidate_000212	84	111	267.5	111	84	64	0.7619047619047619	1.0	0.7567567567567568	0.5765765765765766		unresolved	low_target_coverage
vae_candidate_000001	vae_candidate_000216	84	100	231.0	100	84	58	0.6904761904761905	1.0	0.84	0.58	0.42000000000000004	resolved	
vae_candidate_000001	vae_candidate_000219	84	97	306.0	98	83	70	0.8433734939759037	0.9880952380952381	0.8556701030927835	0.7216494845360825	0.27835051546391754	resolved	
vae_candidate_000001	vae_candidate_000220	84	84	293.0	85	83	63	0.7590361445783133	0.9880952380952381	0.9880952380952381	0.75	0.25	resolved	
vae_candidate_000001	vae_candidate_000228	84	124	237.5	124	84	63	0.75	1.0	0.6774193548387096	0.5080645161290323		unresolved	low_target_coverage
vae_candidate_000001	vae_candidate_000230	84	92	314.5	93	83	70	0.8433734939759037	0.9880952380952381	0.9021739130434783	0.7608695652173914	0.23913043478260865	resolved	
vae_candidate_000001	vae_candidate_000247	84	96	305.0	96	84	66	0.7857142857142857	1.0	0.875	0.6875	0.3125	resolved	
vae_candidate_000001	vae_candidate_000249	84	107	275.5	107	84	66	0.7857142857142857	1.0	0.7850467289719626	0.616822429906542		unresolved	low_target_coverage
vae_candidate_000001	vae_candidate_000258	84	93	277.5	94	83	65	0.7831325301204819	0.9880952380952381	0.8924731182795699	0.6989247311827957	0.30107526881720426	resolved	
vae_candidate_000001	vae_candidate_000264	84	110	274.5	112	82	70	0.8536585365853658	0.9761904761904762	0.7454545454545455	0.6363636363636364		unresolved	low_target_coverage
vae_candidate_000001	vae_candidate_000266	84	89	319.5	89	84	67	0.7976190476190477	1.0	0.9438202247191011	0.7528089887640449	0.2471910112359551	resolved	
vae_candidate_000001	vae_candidate_000273	84	108	239.0	108	84	57	0.6785714285714286	1.0	0.7777777777777778	0.5277777777777778		unresolved	low_target_coverage
vae_candidate_000001	vae_candidate_000284	84	91	283.0	92	83	66	0.7951807228915663	0.9880952380952381	0.9120879120879121	0.7252747252747253	0.27472527472527475	resolved	
vae_candidate_000001	vae_candidate_000288	84	114	202.5	117	81	61	0.7530864197530864	0.9642857142857143	0.7105263157894737	0.5350877192982456		unresolved	low_target_coverage
vae_candidate_000001	vae_candidate_000293	84	93	227.5	93	84	50	0.5952380952380952	1.0	0.9032258064516129	0.5376344086021505	0.4623655913978495	resolved	
vae_candidate_000001	vae_candidate_000295	84	87	257.0	88	83	58	0.6987951807228916	0.9880952380952381	0.9540229885057471	0.6666666666666666	0.33333333333333337	resolved	
vae_candidate_000001	vae_candidate_000316	84	85	218.5	87	82	48	0.5853658536585366	0.9761904761904762	0.9647058823529412	0.5647058823529412	0.43529411764705883	resolved	
vae_candidate_000001	vae_candidate_000318	84	77	246.5	86	75	56	0.7466666666666667	0.8928571428571429	0.974025974025974	0.6666666666666666	0.33333333333333337	resolved	
vae_candidate_000001	vae_candidate_000323	84	103	245.5	103	84	59	0.7023809523809523	1.0	0.8155339805825242	0.5728155339805825	0.4271844660194175	resolved	
vae_candidate_000001	vae_candidate_000327	84	96	250.0	100	80	58	0.725	0.9523809523809523	0.8333333333333334	0.6041666666666666	0.39583333333333337	resolved	
vae_candidate_000001	vae_candidate_000332	84	105	263.0	105	84	65	0.7738095238095238	1.0	0.8	0.6190476190476191	0.38095238095238093	resolved	
vae_candidate_000001	vae_candidate_000338	84	93	313.0	93	84	70	0.8333333333333334	1.0	0.9032258064516129	0.7526881720430108	0.24731182795698925	resolved	
vae_candidate_000001	vae_candidate_000343	84	114	230.5	118	80	61	0.7625	0.9523809523809523	0.7017543859649122	0.5350877192982456		unresolved	low_target_coverage
vae_candidate_000001	vae_candidate_000344	84	88	304.0	88	84	64	0.7619047619047619	1.0	0.9545454545454546	0.7272727272727273	0.2727272727272727	resolved	
vae_candidate_000001	vae_candidate_000345	84	101	258.5	101	84	62	0.7380952380952381	1.0	0.8316831683168316	0.6138613861386139	0.38613861386138615	resolved	
vae_candidate_000001	vae_candidate_000346	84	115	249.5	115	84	63	0.75	1.0	0.7304347826086957	0.5478260869565217		unresolved	low_target_coverage
vae_candidate_000001	vae_candidate_000347	84	93	208.0	94	83	51	0.6144578313253012	0.9880952380952381	0.8924731182795699	0.5483870967741935	0.4516129032258065	resolved	
vae_candidate_000001	vae_candidate_000352	84	72	221.5	85	71	51	0.7183098591549296	0.8452380952380952	0.9861111111111112	0.6071428571428571	0.3928571428571429	resolved	
vae_candidate_000001	vae_candidate_000354	84	95	301.5	96	83	66	0.7951807228915663	0.9880952380952381	0.8736842105263158	0.6947368421052632	0.3052631578947368	resolved	
vae_candidate_000001	vae_candidate_000356	84	111	264.0	111	84	67	0.7976190476190477	1.0	0.7567567567567568	0.6036036036036037		unresolved	low_target_coverage
vae_candidate_000001	vae_candidate_000359	84	106	250.0	107	83	65	0.7831325301204819	0.9880952380952381	0.7830188679245284	0.6132075471698113		unresolved	low_target_coverage
vae_candidate_000001	vae_candidate_000364	84	95	262.0	95	84	60	0.7142857142857143	1.0	0.8842105263157894	0.631578947368421	0.368421052631579	resolved	
vae_candidate_000001	vae_candidate_000369	84	88	277.5	88	84	64	0.7619047619047619	1.0	0.9545454545454546	0.7272727272727273	0.2727272727272727	resolved	
vae_candidate_000001	vae_candidate_000374	84	106	255.5	107	83	61	0.7349397590361446	0.9880952380952381	0.7830188679245284	0.5754716981132075		unresolved	low_target_coverage
vae_candidate_000001	vae_candidate_000383	84	98	266.5	98	84	62	0.7380952380952381	1.0	0.8571428571428571	0.6326530612244898	0.36734693877551017	resolved	
vae_candidate_000001	vae_candidate_000388	84	104	238.5	106	82	62	0.7560975609756098	0.9761904761904762	0.7884615384615384	0.5961538461538461		unresolved	low_target_coverage
vae_candidate_000001	vae_candidate_000396	84	89	310.5	89	84	68	0.8095238095238095	1.0	0.9438202247191011	0.7640449438202247	0.2359550561797753	resolved	
vae_candidate_000001	vae_candidate_000399	84	94	316.5	94	84	71	0.8452380952380952	1.0	0.8936170212765957	0.7553191489361702	0.24468085106382975	resolved	
vae_candidate_000001	vae_candidate_000401	84	95	298.0	96	83	67	0.8072289156626506	0.9880952380952381	0.8736842105263158	0.7052631578947368	0.2947368421052632	resolved	
