sequence_id	length	standard_aa_only	duplicate_candidate	generation_cap_warning	low_complexity_warning	composition_outlier_checked	composition_js_divergence	composition_js_threshold	composition_outlier_warning	training_match_checked	exact_training_match	training_match_ids	reference_match_checked	exact_reference_match	reference_match_ids	qc_pass	qc_reasons	domain_status	domain_score	domain_evalue	model_coverage	domain_pass	constraint_score	conserved_sites_total	conserved_sites_covered	conserved_sites_matched	conservation_coverage	conservation_score	closest_reference_id	closest_reference_pident	closest_reference_effective_identity	closest_reference_query_coverage	closest_reference_target_coverage	closest_reference_evalue	novelty_score	uniqueness_score	nearest_candidate_id	nearest_candidate_identity	nearest_candidate_distance	sequence_evalue	sequence_score	hmm_from	hmm_to	alignment_from	alignment_to
gen_0	99	True	False	False	False	True	0.1003069999	0.06061925601	True	True	False	[]	True	False	[]	True	composition_outlier_warning	not_detected	0	1000	0	False	0	23	18	3	0.7826086957	0.1304347826	ref_001143	0.43478	0.0813003252	0.2323232323	0.1869918699	92	0.9186996748	0.5942687787	gen_36	0.7800008	0.2199992						
gen_1	104	True	False	False	False	True	0.141515412	0.06061925601	True	True	False	[]	True	False	[]	True	composition_outlier_warning	not_detected	0	1000	0	False	0	23	18	5	0.7826086957	0.2173913043	ref_000940	0.26744	0.1631194326	0.8269230769	0.609929078	265	0.8368805674	0.5947876787	gen_36	0.7596125962	0.2403874038						
gen_3	105	True	False	False	False	True	0.1494766374	0.06061925601	True	True	False	[]	True	False	[]	True	composition_outlier_warning	not_detected	0	1000	0	False	0	23	18	5	0.7826086957	0.2173913043	ref_001138	0.29268	0.09835967213	0.3904761905	0.3360655738	574	0.9016403279	0.585942259	gen_86	0.7714285714	0.2285714286						
gen_4	95	True	False	False	False	True	0.1557315832	0.06061925601	True	True	False	[]	True	False	[]	True	composition_outlier_warning	not_detected	0	1000	0	False	0	23	18	6	0.7826086957	0.2608695652	ref_000523	0.47368	0.094736	0.2	0.2209302326	175	0.905264	0.6016231566	gen_140	0.83505	0.16495						
gen_5	101	True	False	False	False	True	0.1398842229	0.06061925601	True	True	False	[]	True	False	[]	True	composition_outlier_warning	not_detected	0	1000	0	False	0	23	18	6	0.7826086957	0.2608695652	ref_000939	0.27419	0.1164368493	0.6138613861	0.4246575342	314	0.8835631507	0.5776084339	gen_36	0.8118831683	0.1881168317						
gen_6	86	True	False	False	False	True	0.01380984537	0.06061925601	False	True	False	[]	True	False	[]	True		detected	59.2	3e-18	1	True	0.8875598086	23	23	23	1	1	ref_001077	0.93023	0.93023	1	1	3.65e-55	0.06977	0.9019189686	gen_173	0.88372	0.11628	2.3e-18	59.5	1	39	11	49
gen_7	93	True	False	False	False	True	0.1359315205	0.06061925601	True	True	False	[]	True	False	[]	True	composition_outlier_warning	not_detected	0	1000	0	False	0	23	17	5	0.7391304348	0.2173913043	ref_001145	0.37838	0.1505382796	0.3978494624	0.4352941176	15	0.8494617204	0.582014227	gen_156	0.7957	0.2043						
gen_8	114	True	False	False	False	True	0.0565155348	0.06061925601	False	True	False	[]	True	False	[]	True		not_detected	0	1000	0	False	0	23	18	5	0.7826086957	0.2173913043	ref_000303	0.3	0.2368421053	0.7894736842	0.9278350515	5.1	0.7631578947	0.7843135054	gen_61	0.7806986842	0.2193013158						
gen_9	84	True	False	False	False	True	0.103342254	0.06061925601	True	True	False	[]	True	False	[]	True	composition_outlier_warning	not_detected	0	1000	0	False	0	23	19	5	0.8260869565	0.2173913043	ref_000735	0.22581	0.1590934091	0.7380952381	0.7045454545	638	0.8409065909	0.9369738797	gen_65	0.89286	0.10714						
gen_10	111	True	False	False	False	True	0.1805628832	0.06061925601	True	True	False	[]	True	False	[]	True	composition_outlier_warning	not_detected	0	1000	0	False	0	23	18	5	0.7826086957	0.2173913043	ref_001143	0.33333	0.11382	0.3783783784	0.3414634146	1.1	0.88618	0.6137513801	gen_170	0.6756718018	0.3243281982						
gen_11	113	True	False	False	False	True	0.1256404069	0.06061925601	True	True	False	[]	True	False	[]	True	composition_outlier_warning	not_detected	0	1000	0	False	0	23	18	8	0.7826086957	0.347826087	ref_001093	0.31461	0.1931054483	0.7876106195	0.6137931034	240	0.8068945517	0.6046241884	gen_70	0.6902663717	0.3097336283						
