sequence_id	pool	accession	accession_base	model_name	env_start_1based	env_end_1based	bit_score	i_evalue	hmm_start_1based	hmm_end_1based	hmm_length	hmm_span_fraction	reference_sequences_with_accession
nat_00058845722df3ede422	reference	PF00741.24	PF00741	Gas_vesicle	11	49	59.13195037841797	2.469089109661456e-17	1	39	39	1.0	346
nat_004ac783975534947324	reference	PF00741.24	PF00741	Gas_vesicle	12	50	56.08411407470703	2.212765968583549e-16	1	39	39	1.0	346
nat_0077c6cbf903d0b80137	reference	PF00741.24	PF00741	Gas_vesicle	13	51	59.860137939453125	1.4621439346570726e-17	1	39	39	1.0	346
nat_0101bc590c89813c161a	reference	PF00741.24	PF00741	Gas_vesicle	12	50	59.12800979614258	2.4760997202808675e-17	1	39	39	1.0	346
nat_0145b7d0415b25474bf7	reference	PF00741.24	PF00741	Gas_vesicle	12	50	57.89242172241211	6.023779739284568e-17	1	39	39	1.0	346
nat_019e8d05123166c4099d	reference	PF00741.24	PF00741	Gas_vesicle	10	48	57.83879470825195	6.260754053793024e-17	1	39	39	1.0	346
nat_038b08407425f0209cdb	reference	PF00741.24	PF00741	Gas_vesicle	18	56	43.13170623779297	2.468027046889879e-12	1	39	39	1.0	346
nat_05a00477d12701f3890c	reference	PF00741.24	PF00741	Gas_vesicle	12	50	59.164573669433594	2.411806837361581e-17	1	39	39	1.0	346
nat_05d62502987d9405b8af	reference	PF00741.24	PF00741	Gas_vesicle	12	50	59.09444808959961	2.5366211687485514e-17	1	39	39	1.0	346
nat_05faae01597311327997	reference	PF00741.24	PF00741	Gas_vesicle	16	54	42.552608489990234	3.7437637690933984e-12	1	39	39	1.0	346
nat_07248f2d3ff700c7afcd	reference	PF00741.24	PF00741	Gas_vesicle	10	48	56.1426887512207	2.1214454084655063e-16	1	39	39	1.0	346
nat_074f333dec93d43ec001	reference	PF00741.24	PF00741	Gas_vesicle	19	57	43.564083099365234	1.8081699877729021e-12	1	39	39	1.0	346
nat_07f90c8c92dbdb92b94e	reference	PF00741.24	PF00741	Gas_vesicle	12	50	57.42153549194336	8.453047047482309e-17	1	39	39	1.0	346
nat_08ca607a70bf3998101a	reference	PF00741.24	PF00741	Gas_vesicle	11	49	58.55604934692383	3.7367699765049494e-17	1	39	39	1.0	346
nat_0942555d17806690a15c	reference	PF00741.24	PF00741	Gas_vesicle	18	56	43.64847946166992	1.701636455677222e-12	1	39	39	1.0	346
nat_0a5813d34fb4f832fd7d	reference	PF00741.24	PF00741	Gas_vesicle	10	48	54.79350662231445	5.6005294701166045e-16	1	39	39	1.0	346
nat_0a6194eed91a047cb43e	reference	PF00741.24	PF00741	Gas_vesicle	10	48	54.842220306396484	5.407628667672178e-16	1	39	39	1.0	346
nat_0ae199fc6d044a2da135	reference	PF00741.24	PF00741	Gas_vesicle	12	50	58.36577606201172	4.285027734158979e-17	1	39	39	1.0	346
nat_0aeb545239a28bae61f9	reference	PF00741.24	PF00741	Gas_vesicle	10	48	57.83879470825195	6.260754053793024e-17	1	39	39	1.0	346
nat_0c143ad343586201fcf9	reference	PF00741.24	PF00741	Gas_vesicle	11	49	59.80047607421875	1.5262774181178398e-17	1	39	39	1.0	346
nat_0ccad4d436403131ae6a	reference	PF00741.24	PF00741	Gas_vesicle	22	60	51.95496368408203	4.317447565084485e-15	1	39	39	1.0	346
nat_0da4fc315e8c5fa1925f	reference	PF00741.24	PF00741	Gas_vesicle	10	48	54.45231628417969	7.158886157825121e-16	1	39	39	1.0	346
nat_0e118acdc2771e80b4ea	reference	PF00741.24	PF00741	Gas_vesicle	25	63	52.73326110839844	2.4661638462542422e-15	2	39	39	0.9743589743589743	346
nat_0eb236c2a0a999a958fc	reference	PF00741.24	PF00741	Gas_vesicle	19	57	43.147666931152344	2.439846255704729e-12	1	39	39	1.0	346
nat_0f515c4258dc68fd3f9c	reference	PF00741.24	PF00741	Gas_vesicle	19	57	43.580780029296875	1.7865770074642692e-12	1	39	39	1.0	346
nat_101346775bd8fc719b54	reference	PF00741.24	PF00741	Gas_vesicle	16	54	43.246604919433594	2.272196917926441e-12	1	39	39	1.0	346
nat_13dff233b6dfd04cb79c	reference	PF00741.24	PF00741	Gas_vesicle	8	46	50.76737976074219	1.0146763000795708e-14	1	39	39	1.0	346
nat_13ee99e71183bcf01114	reference	PF00741.24	PF00741	Gas_vesicle	18	56	40.380462646484375	1.7867685088434823e-11	2	39	39	0.9743589743589743	346
nat_140f5823a50b88bf41c9	reference	PF00741.24	PF00741	Gas_vesicle	11	49	56.70799255371094	1.4124845927906175e-16	1	39	39	1.0	346
nat_144165ea4d3ea8a64b2e	reference	PF00741.24	PF00741	Gas_vesicle	12	50	59.09444808959961	2.5366211687485514e-17	1	39	39	1.0	346
nat_145768217677e4dfa78e	reference	PF00741.24	PF00741	Gas_vesicle	8	46	52.83547592163086	2.2912974862834992e-15	1	39	39	1.0	346
nat_1564401f2a553c444667	reference	PF00741.24	PF00741	Gas_vesicle	13	51	59.860137939453125	1.4621439346570726e-17	1	39	39	1.0	346
nat_158c0216b95ce3304bfe	reference	PF00741.24	PF00741	Gas_vesicle	23	61	43.51528549194336	1.872784068732524e-12	1	39	39	1.0	346
nat_15e32a2edd6bff0d0784	reference	PF00741.24	PF00741	Gas_vesicle	24	62	52.783626556396484	2.3783926416556253e-15	1	39	39	1.0	346
nat_168a7720be25950ce7a5	reference	PF00741.24	PF00741	Gas_vesicle	12	50	59.93069839477539	1.3897642801072327e-17	1	39	39	1.0	346
nat_16be3cd3d97ccaa2c7df	reference	PF00741.24	PF00741	Gas_vesicle	18	56	47.37916564941406	1.161685860045069e-13	1	39	39	1.0	346
nat_1aeb097a28c863a862e4	reference	PF00741.24	PF00741	Gas_vesicle	25	63	52.73326110839844	2.4661638462542422e-15	2	39	39	0.9743589743589743	346
nat_1aef09f774a1818b7e24	reference	PF00741.24	PF00741	Gas_vesicle	13	51	59.860137939453125	1.4621439346570726e-17	1	39	39	1.0	346
nat_1cc68774b93a831e1a93	reference	PF00741.24	PF00741	Gas_vesicle	25	63	52.73326110839844	2.4661638462542422e-15	2	39	39	0.9743589743589743	346
nat_1cefe08dae83aa5bd96d	reference	PF00741.24	PF00741	Gas_vesicle	21	59	43.46479415893555	1.9420724052942255e-12	1	39	39	1.0	346
nat_1e070d0d2387bb202235	reference	PF00741.24	PF00741	Gas_vesicle	8	46	55.939796447753906	2.4548918749450013e-16	1	39	39	1.0	346
nat_1ecba3351cb7c8c6d3e7	reference	PF00741.24	PF00741	Gas_vesicle	20	58	46.63194274902344	1.9887654685188555e-13	1	39	39	1.0	346
nat_1ed909a554bd91f8870f	reference	PF00741.24	PF00741	Gas_vesicle	8	46	57.850868225097656	6.206601584161992e-17	1	39	39	1.0	346
nat_1eda5f35014077cd8e25	reference	PF00741.24	PF00741	Gas_vesicle	12	50	60.25038146972656	1.1041941497910767e-17	1	39	39	1.0	346
nat_1f1d6fdb82f348ed948e	reference	PF00741.24	PF00741	Gas_vesicle	10	48	54.842220306396484	5.407628667672178e-16	1	39	39	1.0	346
nat_1f2decc9d9629b127278	reference	PF00741.24	PF00741	Gas_vesicle	17	55	47.71156311035156	9.145763427045429e-14	1	39	39	1.0	346
nat_1f4f50f1349e137c7f32	reference	PF00741.24	PF00741	Gas_vesicle	11	49	59.43084716796875	1.9912988041037196e-17	1	39	39	1.0	346
nat_1f7ab0dfc808b4ef03c3	reference	PF00741.24	PF00741	Gas_vesicle	12	50	59.89714813232422	1.4237215227964452e-17	1	39	39	1.0	346
nat_1f956fdbc151f2ec0ffb	reference	PF00741.24	PF00741	Gas_vesicle	12	50	59.09444808959961	2.5366211687485514e-17	1	39	39	1.0	346
nat_200ecff40f6b83ca60f9	reference	PF00741.24	PF00741	Gas_vesicle	8	46	44.39308547973633	9.958401832662168e-13	1	39	39	1.0	346
nat_210e9a5f9b72676b9ce0	reference	PF00741.24	PF00741	Gas_vesicle	22	60	42.219398498535156	4.758072764036577e-12	1	39	39	1.0	346
nat_215f48254c804f1f2876	reference	PF00741.24	PF00741	Gas_vesicle	12	50	59.93069839477539	1.3897642801072327e-17	1	39	39	1.0	346
nat_219e1145c7c5f874f9d7	reference	PF00741.24	PF00741	Gas_vesicle	19	57	43.180023193359375	2.3837003530286724e-12	1	39	39	1.0	346
nat_2257aec2c4abeff42ec4	reference	PF00741.24	PF00741	Gas_vesicle	12	50	59.0950927734375	2.535444797162004e-17	1	39	39	1.0	346
nat_234ee7db19bcd2cc0f16	reference	PF00741.24	PF00741	Gas_vesicle	22	60	42.219398498535156	4.758072764036577e-12	1	39	39	1.0	346
nat_240500bb8aaece16c8a7	reference	PF00741.24	PF00741	Gas_vesicle	22	60	42.235374450683594	4.703691792257934e-12	1	39	39	1.0	346
nat_25e53f7654eeb15d035e	reference	PF00741.24	PF00741	Gas_vesicle	19	57	43.353633880615234	2.103784137753449e-12	1	39	39	1.0	346
nat_25ee00a9c2b4e74f79dd	reference	PF00741.24	PF00741	Gas_vesicle	20	58	49.51464080810547	2.4991241802115002e-14	2	39	39	0.9743589743589743	346
nat_25f8dd28e9511c933322	reference	PF00741.24	PF00741	Gas_vesicle	25	63	52.73326110839844	2.4661638462542422e-15	2	39	39	0.9743589743589743	346
nat_25fcb1b7b6c3c6f6f29d	reference	PF00741.24	PF00741	Gas_vesicle	11	49	59.08242416381836	2.5586618364560986e-17	1	39	39	1.0	346
nat_262acad32bf64e600812	reference	PF00741.24	PF00741	Gas_vesicle	11	49	56.278682708740234	1.9236939774178298e-16	1	39	39	1.0	346
nat_2708b2500f3eefced6c0	reference	PF00741.24	PF00741	Gas_vesicle	11	49	59.94140625	1.3790979615635103e-17	1	39	39	1.0	346
nat_278c7a3fd12af0319695	reference	PF00741.24	PF00741	Gas_vesicle	11	49	59.65225601196289	1.6980474052966214e-17	1	39	39	1.0	346
nat_27cf1e5aac6ec3dd931d	reference	PF00741.24	PF00741	Gas_vesicle	8	46	57.625606536865234	7.298681978867206e-17	1	39	39	1.0	346
nat_29fc4eacaf44be490bad	reference	PF00741.24	PF00741	Gas_vesicle	19	57	42.44688034057617	4.039677960117588e-12	1	39	39	1.0	346
nat_2a93193629740c6b70af	reference	PF00741.24	PF00741	Gas_vesicle	8	46	51.98334503173828	4.23017532305981e-15	1	39	39	1.0	346
nat_2b769a64bdbe24f6dbc7	reference	PF00741.24	PF00741	Gas_vesicle	19	57	42.73379135131836	3.2861832117424434e-12	1	39	39	1.0	346
nat_2dee131e85e06a8f9fdd	reference	PF00741.24	PF00741	Gas_vesicle	11	49	60.633514404296875	8.38151836350833e-18	1	39	39	1.0	346
nat_2f6261679e76a403b7de	reference	PF00741.24	PF00741	Gas_vesicle	19	57	43.147666931152344	2.439846255704729e-12	1	39	39	1.0	346
nat_2f6b62c5722bcacabd8e	reference	PF00741.24	PF00741	Gas_vesicle	24	62	52.80303192138672	2.3454149827936474e-15	1	39	39	1.0	346
nat_30c8db5b2a48ec02340b	reference	PF00741.24	PF00741	Gas_vesicle	12	50	59.9267463684082	1.3937217849083002e-17	1	39	39	1.0	346
nat_31b4ab378929e0c134fa	reference	PF00741.24	PF00741	Gas_vesicle	19	57	43.163753509521484	2.411768782453336e-12	1	39	39	1.0	346
nat_31ec72d1a2119ce61d3a	reference	PF00741.24	PF00741	Gas_vesicle	22	60	42.219398498535156	4.758072764036577e-12	1	39	39	1.0	346
nat_320fa412f1f1ad675d12	reference	PF00741.24	PF00741	Gas_vesicle	10	48	55.30849838256836	3.86636304755091e-16	1	39	39	1.0	346
nat_32d58e5d24419efe5e0e	reference	PF00741.24	PF00741	Gas_vesicle	8	46	57.70516586303711	6.892606096337678e-17	1	39	39	1.0	346
nat_32fcf9c5b6202c499dc1	reference	PF00741.24	PF00741	Gas_vesicle	12	50	55.3101692199707	3.861717695366629e-16	1	39	39	1.0	346
nat_33d8dbb5443a9dadf56d	reference	PF00741.24	PF00741	Gas_vesicle	22	60	42.219398498535156	4.758072764036577e-12	1	39	39	1.0	346
nat_340bf83afc765d1b00fd	reference	PF00741.24	PF00741	Gas_vesicle	10	48	48.15267562866211	6.658548324164609e-14	2	39	39	0.9743589743589743	346
nat_34e09ae9d7236edc844b	reference	PF00741.24	PF00741	Gas_vesicle	10	48	56.88328170776367	1.2451129253101317e-16	1	39	39	1.0	346
nat_373d638b02f47e751a57	reference	PF00741.24	PF00741	Gas_vesicle	10	48	54.79350662231445	5.6005294701166045e-16	1	39	39	1.0	346
nat_38a86b2caad8351d20f8	reference	PF00741.24	PF00741	Gas_vesicle	11	49	59.704898834228516	1.6349323768488097e-17	1	39	39	1.0	346
nat_38cb7bda240a833d36b3	reference	PF00741.24	PF00741	Gas_vesicle	12	50	59.298397064208984	2.1904074708635317e-17	1	39	39	1.0	346
nat_39696a92cfeac6f208a2	reference	PF00741.24	PF00741	Gas_vesicle	8	46	53.63256072998047	1.2912358788857048e-15	1	39	39	1.0	346
nat_3997c1e8cae542beb07c	reference	PF00741.24	PF00741	Gas_vesicle	19	57	43.147666931152344	2.439846255704729e-12	1	39	39	1.0	346
nat_39cf0fd21702af1ff2b1	reference	PF00741.24	PF00741	Gas_vesicle	11	49	58.34133529663086	4.3610490806829116e-17	1	39	39	1.0	346
nat_3bac021c5495186db378	reference	PF00741.24	PF00741	Gas_vesicle	16	54	42.26860046386719	4.592575179322063e-12	1	39	39	1.0	346
nat_3beea3bf721df3e90ae2	reference	PF00741.24	PF00741	Gas_vesicle	11	49	59.13195037841797	2.469089109661456e-17	1	39	39	1.0	346
