sequence_id	sequence_sha256	sequence_length	pf00741_status	pf00741_score	pf00741_sequence_score	pf00741_coverage	best_family	best_family_score	second_family	second_family_score	family_margin	best_model_coverage	best_query_coverage	family_status	classification_reason	gvpa_score	gvpj_score	hmm_family_status	similarity_best_family	similarity_best_reference	similarity_effective_identity	similarity_query_coverage	similarity_target_coverage	similarity_second_family	similarity_second_identity	similarity_margin	control_type	expected_family	fold	parent_id
nat_2d8e972f7b8e0b149992	2d8e972f7b8e0b1499926fc093208ce3c9b08dff9f2fe3b056dd570e19fd52a9	114	pass	53.3	53.6	0.9743589743589743	gvpj	106.0	gvpa	38.4	67.6	0.8951612903225806	0.9385964912280702	other_gvp	competitive_gvpj_support;competitive_sequence_agreement	38.4	106.0	other_gvp	gvpj	nat_b0f226cab132da339d39	0.7017543859649122	0.8157894736842105	0.8230088495575221	gvpa	0.2982456140350877	0.40350877192982454	natural_heldout	gvpj	0	nat_2d8e972f7b8e0b149992
nat_e4530a471497a647eef2	e4530a471497a647eef21f92f9c50626148b65fbacae7b18cec4b118bdc7630c	71	pass	61.3	61.6	1.0	gvpa	136.0	gvpj	57.6	78.4	0.8641975308641975	0.9859154929577465	supported_gvpa	pf00741_and_competitive_gvpa_support;competitive_sequence_agreement	136.0	57.6	supported_gvpa	gvpa	nat_8be2e14f0153cb01c7e8	0.9594594594594594	1.0	0.9594594594594594	gvpj	0.7605633802816901	0.1988960791777693	natural_heldout	gvpa	0	nat_e4530a471497a647eef2
nat_626bf126ff6a42e860e1	626bf126ff6a42e860e1c20b32f28779f549346c7554d3694e519c08b6d8a44f	86	pass	56.7	57.0	1.0	gvpa	125.7	gvpj	53.1	72.6	0.8271604938271605	0.7790697674418605	supported_gvpa	pf00741_and_competitive_gvpa_support;competitive_sequence_agreement	125.7	53.1	supported_gvpa	gvpa	nat_d2440e6d37d33df171fe	0.9767441860465116	1.0	1.0	gvpj	0.8372093023255814	0.13953488372093015	natural_heldout	gvpa	0	nat_626bf126ff6a42e860e1
nat_83cf4bae954290aa781d	83cf4bae954290aa781d919a49879399b8f8f6215eafe44d5ab3358539071424	71	pass	59.7	59.9	1.0	gvpa	135.3	gvpj	56.0	79.30000000000001	0.8641975308641975	0.9859154929577465	supported_gvpa	pf00741_and_competitive_gvpa_support;competitive_sequence_agreement	135.3	56.0	supported_gvpa	gvpa	nat_0fc8bfe28907ef9fa5eb	0.971830985915493	0.9859154929577465	1.0	gvpj	0.7733333333333333	0.19849765258215968	natural_heldout	gvpa	0	nat_83cf4bae954290aa781d
nat_9246ded62fef238baf63	9246ded62fef238baf63231483e047bdc014a8a22dd10e95f7999ab152e2ce4c	72	pass	62.7	63.1	1.0	gvpa	137.2	gvpj	56.0	81.19999999999999	0.8765432098765432	0.9861111111111112	supported_gvpa	pf00741_and_competitive_gvpa_support;competitive_sequence_agreement	137.2	56.0	supported_gvpa	gvpa	nat_71f9753012b6644cf772	0.958904109589041	1.0	0.9863013698630136	gvpj	0.7777777777777778	0.18112633181126325	natural_heldout	gvpa	0	nat_9246ded62fef238baf63
nat_278c7a3fd12af0319695	278c7a3fd12af0319695fae40d23ee8f76abf60d19c5e52b3b9dab1e368567ba	71	pass	59.7	59.9	1.0	gvpa	135.6	gvpj	56.0	79.6	0.8641975308641975	0.9859154929577465	supported_gvpa	pf00741_and_competitive_gvpa_support;competitive_sequence_agreement	135.6	56.0	supported_gvpa	gvpa	nat_0fc8bfe28907ef9fa5eb	0.9577464788732394	0.9859154929577465	1.0	gvpj	0.7733333333333333	0.18441314553990606	natural_heldout	gvpa	0	nat_278c7a3fd12af0319695
nat_cc9d0eca2af440c02e36	cc9d0eca2af440c02e366ddad23939383778f34ecc51c22751f53b7c309a636b	148	pass	60.6	61.0	1.0	gvpj	162.1	gvpa	38.3	123.8	0.8145161290322581	0.7162162162162162	other_gvp	competitive_gvpj_support;competitive_sequence_agreement	38.3	162.1	other_gvp	gvpj	nat_2d6ae3851377c5ea8190	0.6081081081081081	0.7702702702702703	0.9827586206896551				natural_heldout	gvpj	0	nat_cc9d0eca2af440c02e36
nat_3fb1b2844ab87a8f4a72	3fb1b2844ab87a8f4a72239d1dbaef92be3ae9760ba9ae8b474c797e4c6edb12	138	pass	46.4	46.8	0.9743589743589743			gvpa	85.4		0.0	0.0	unsupported	no_qualified_subfamily_hit	85.4	41.0	unsupported	gvpa	nat_3e858629efd06bf33e52	0.7482014388489209	0.8333333333333334	0.8201438848920863	gvpj	0.6666666666666666	0.08153477218225424	natural_heldout	gvpa	0	nat_3fb1b2844ab87a8f4a72
nat_0739506f322325ee29fe	0739506f322325ee29fe0a7ac885f6cd9f3953ab293e001ca9b5f6b669a02e92	139	pass	48.0	48.6	0.9743589743589743			gvpa	93.5		0.0	0.0	unsupported	no_qualified_subfamily_hit	93.5	42.1	unsupported	gvpa	nat_c6c6c9a5f7341498fda1	0.6474820143884892	0.9856115107913669	0.9927536231884058	gvpj	0.5107913669064749	0.13669064748201432	natural_heldout	gvpa	0	nat_0739506f322325ee29fe
nat_5bc7120641a4b206dec6	5bc7120641a4b206dec615e69a9573322282b0869275b3db5d6e281c748b2aff	72	pass	55.7	56.0	1.0	gvpa	128.8	gvpj	52.3	76.50000000000001	0.8518518518518519	0.9583333333333334	supported_gvpa	pf00741_and_competitive_gvpa_support;competitive_sequence_agreement	128.8	52.3	supported_gvpa	gvpa	nat_8e2e16185848c52bf74f	0.8055555555555556	0.9305555555555556	0.9852941176470589	gvpj	0.72	0.0855555555555556	natural_heldout	gvpa	0	nat_5bc7120641a4b206dec6
