sequence_id	sequence_sha256	accession	original_local_family	original_prediction	ncbi_definition	name_evidence_category	name_evidence_accession	source_identifier	region_names	disposition	operational_family_status	reason	biological_identity_resolved	independent_experimental_confirmation	source_url
nat_14b8d1a3240d87319476	14b8d1a3240d87319476ab4c8dd5f122b42ed51a1bfb6ca5d4b7b3d6668363c1	WP_435763343.1	gvpj	supported_gvpa	gas vesicle structural protein GvpA [Oceanobacillus sp. CF4.6].	Conserved Domain (CDD)	Domain architecture ID 10013203		PRK09371	resolved_stale_local_gvpj_annotation	supported_gvpa	current_ncbi_gvpa_annotation_exact_sequence_match	True	False	https://www.ncbi.nlm.nih.gov/protein/WP_435763343.1
nat_0e04889ea449c11132b4	0e04889ea449c11132b46b6d3cc08adbd373bf5f1465f50ae1a2ca651ea7675f	WP_434971879.1	gvpj	supported_gvpa	gas vesicle structural protein GvpA [Longibacter sp.].	Conserved Domain (CDD)	Domain architecture ID 10013203		PRK09371	resolved_stale_local_gvpj_annotation	supported_gvpa	current_ncbi_gvpa_annotation_exact_sequence_match	True	False	https://www.ncbi.nlm.nih.gov/protein/WP_434971879.1
nat_ff9c5d10b21ed7b06913	ff9c5d10b21ed7b06913f77b234631b63ecb3f97c32cc95c79e1808c84902994	WP_443127555.1	gvpj	supported_gvpa	gas vesicle structural protein GvpA [Gracilibacillus sp. D59].	Conserved Domain (CDD)	Domain architecture ID 10013203		PRK09371	resolved_stale_local_gvpj_annotation	supported_gvpa	current_ncbi_gvpa_annotation_exact_sequence_match	True	False	https://www.ncbi.nlm.nih.gov/protein/WP_443127555.1
nat_2afc6fb850c8bc89b0f2	2afc6fb850c8bc89b0f23386d755bad743934c721099ea236eeae1863cbb4f22	WP_441007279.1	gvpj	supported_gvpa	gas vesicle structural protein GvpA [Microcystis aeruginosa].	Conserved Domain (CDD)	Domain architecture ID 10013203		PRK09371	resolved_stale_local_gvpj_annotation	supported_gvpa	current_ncbi_gvpa_annotation_exact_sequence_match	True	False	https://www.ncbi.nlm.nih.gov/protein/WP_441007279.1
nat_6d995d9db67c9b27bce8	6d995d9db67c9b27bce8b5a79af86b4e60b0c43be0baa5c543e8e8dd085dc7b3	WP_439345357.1	gvpj	supported_gvpa	gas vesicle structural protein GvpA [Vacuolonema iberomarrocanum].	Conserved Domain (CDD)	Domain architecture ID 10013203		PRK09371	resolved_stale_local_gvpj_annotation	supported_gvpa	current_ncbi_gvpa_annotation_exact_sequence_match	True	False	https://www.ncbi.nlm.nih.gov/protein/WP_439345357.1
nat_375409e47c121ca81b85	375409e47c121ca81b85e91a4727700b9170b3cb9a5825557448f0be25b0530a	WP_439300212.1	gvpj	supported_gvpa	gas vesicle structural protein GvpA [Pseudalkalibacillus sp. Hm43].	Conserved Domain (CDD)	Domain architecture ID 10013203		PRK09371	resolved_stale_local_gvpj_annotation	supported_gvpa	current_ncbi_gvpa_annotation_exact_sequence_match	True	False	https://www.ncbi.nlm.nih.gov/protein/WP_439300212.1
nat_c8057d4884d2825dccf9	c8057d4884d2825dccf91f0ad8b0897964392e32dd9167237ec07ae2e68ffbff	WP_160913461.1	gvpj	supported_gvpa	MULTISPECIES: gas vesicle protein GvpJ [Halobacillus].	HMM	NF012944.7	PF00741.24	Gas_vesicle	adjudicated_ambiguous_not_gold_gvpj	gvpa_gvpj_ambiguous	ncbi_gvpj_name_from_nonexclusive_pf00741_conflicts_with_competitive_gvpa_evidence	False	False	https://www.ncbi.nlm.nih.gov/protein/WP_160913461.1
nat_25e574f58ba93dcb64e2	25e574f58ba93dcb64e244844e8a42aeeac97b7d3b7afe8cf84a134689d528eb	WP_094886142.1	gvpj	supported_gvpa	gas vesicle protein GvpJ [Virgibacillus indicus].	HMM	NF012944.7	PF00741.24	Gas_vesicle	adjudicated_ambiguous_not_gold_gvpj	gvpa_gvpj_ambiguous	ncbi_gvpj_name_from_nonexclusive_pf00741_conflicts_with_competitive_gvpa_evidence	False	False	https://www.ncbi.nlm.nih.gov/protein/WP_094886142.1
nat_40571a78567e238ce9c6	40571a78567e238ce9c66512af53be557688721acabbf0a07b677c53bc9e332a	WP_443256761.1	gvpj	supported_gvpa	gas vesicle protein GvpJ [Virgibacillus sp. L01].	HMM	NF012944.7	PF00741.24	Gas_vesicle	adjudicated_ambiguous_not_gold_gvpj	gvpa_gvpj_ambiguous	ncbi_gvpj_name_from_nonexclusive_pf00741_conflicts_with_competitive_gvpa_evidence	False	False	https://www.ncbi.nlm.nih.gov/protein/WP_443256761.1
nat_fde7addd3bf07688f196	fde7addd3bf07688f196fd2d1b7828f2e37d49cc249524d4fc1e1f4fcf3aac7e	WP_256227925.1	gvpj	supported_gvpa	gas vesicle protein GvpJ [Fictibacillus sp. WQ 8-8].	HMM	NF012944.7	PF00741.24	Gas_vesicle	adjudicated_ambiguous_not_gold_gvpj	gvpa_gvpj_ambiguous	ncbi_gvpj_name_from_nonexclusive_pf00741_conflicts_with_competitive_gvpa_evidence	False	False	https://www.ncbi.nlm.nih.gov/protein/WP_256227925.1
nat_741da9de60585bc38db1	741da9de60585bc38db1162d556d959ecdec384033cf5aa5d754f8aa623f903d	WP_101642268.1	gvpj	supported_gvpa	gas vesicle protein GvpJ [Peribacillus deserti].	HMM	NF012944.7	PF00741.24	Gas_vesicle	adjudicated_ambiguous_not_gold_gvpj	gvpa_gvpj_ambiguous	ncbi_gvpj_name_from_nonexclusive_pf00741_conflicts_with_competitive_gvpa_evidence	False	False	https://www.ncbi.nlm.nih.gov/protein/WP_101642268.1
nat_22c9ea68da69251de7cc	22c9ea68da69251de7cc24b04369e80d647f45b4a78bc26d0be6b2c12e748b32	WP_114298883.1	gvpj	supported_gvpa	gas vesicle protein GvpJ [Anaerobacterium chartisolvens].	HMM	NF012944.7	PF00741.24	Gas_vesicle	adjudicated_ambiguous_not_gold_gvpj	gvpa_gvpj_ambiguous	ncbi_gvpj_name_from_nonexclusive_pf00741_conflicts_with_competitive_gvpa_evidence	False	False	https://www.ncbi.nlm.nih.gov/protein/WP_114298883.1
nat_7c474a0845fc63bd9dc1	7c474a0845fc63bd9dc16a8a419c1adfdadef26e7c691d51e6f9cc26000044e3	WP_256714828.1	gvpj	supported_gvpa	gas vesicle protein GvpJ [Mycobacterium colombiense].	HMM	NF012944.7	PF00741.24	Gas_vesicle	adjudicated_ambiguous_not_gold_gvpj	gvpa_gvpj_ambiguous	ncbi_gvpj_name_from_nonexclusive_pf00741_conflicts_with_competitive_gvpa_evidence	False	False	https://www.ncbi.nlm.nih.gov/protein/WP_256714828.1
