sequence_id	length	standard_aa_only	duplicate_candidate	generation_cap_warning	low_complexity_warning	composition_outlier_checked	composition_js_divergence	composition_js_threshold	composition_outlier_warning	training_match_checked	exact_training_match	training_match_ids	reference_match_checked	exact_reference_match	reference_match_ids	qc_pass	qc_reasons
gen_0	99	True	False	False	False	True	0.10030699988824104	0.06061925601002585	True	True	False	[]	True	False	[]	True	composition_outlier_warning
gen_1	104	True	False	False	False	True	0.1415154120051632	0.06061925601002585	True	True	False	[]	True	False	[]	True	composition_outlier_warning
gen_2	345	True	False	False	False	True	0.029159583959652017	0.06061925601002585	False	True	False	[]	True	False	[]	False	length_above_maximum
gen_3	105	True	False	False	False	True	0.1494766374443876	0.06061925601002585	True	True	False	[]	True	False	[]	True	composition_outlier_warning
gen_4	95	True	False	False	False	True	0.1557315832203058	0.06061925601002585	True	True	False	[]	True	False	[]	True	composition_outlier_warning
gen_5	101	True	False	False	False	True	0.13988422286524516	0.06061925601002585	True	True	False	[]	True	False	[]	True	composition_outlier_warning
gen_6	86	True	False	False	False	True	0.01380984536954448	0.06061925601002585	False	True	False	[]	True	False	[]	True	
gen_7	93	True	False	False	False	True	0.1359315204831452	0.06061925601002585	True	True	False	[]	True	False	[]	True	composition_outlier_warning
gen_8	114	True	False	False	False	True	0.056515534797627415	0.06061925601002585	False	True	False	[]	True	False	[]	True	
gen_9	84	True	False	False	False	True	0.10334225402364497	0.06061925601002585	True	True	False	[]	True	False	[]	True	composition_outlier_warning
gen_10	111	True	False	False	False	True	0.18056288321881642	0.06061925601002585	True	True	False	[]	True	False	[]	True	composition_outlier_warning
gen_11	113	True	False	False	False	True	0.12564040686543182	0.06061925601002585	True	True	False	[]	True	False	[]	True	composition_outlier_warning
gen_12	97	True	False	False	False	True	0.13761446874432076	0.06061925601002585	True	True	False	[]	True	False	[]	True	composition_outlier_warning
gen_13	89	True	False	False	False	True	0.13433566793959018	0.06061925601002585	True	True	False	[]	True	False	[]	True	composition_outlier_warning
gen_14	294	True	False	False	False	True	0.05588851682776226	0.06061925601002585	False	True	False	[]	True	False	[]	False	length_above_maximum
gen_15	102	True	False	False	False	True	0.11109823146523837	0.06061925601002585	True	True	False	[]	True	False	[]	True	composition_outlier_warning
gen_16	95	True	False	False	False	True	0.1569440900683522	0.06061925601002585	True	True	False	[]	True	False	[]	True	composition_outlier_warning
gen_17	115	True	False	False	False	True	0.10023044195465167	0.06061925601002585	True	True	False	[]	True	False	[]	True	composition_outlier_warning
gen_18	126	True	False	False	False	True	0.10582852333575934	0.06061925601002585	True	True	False	[]	True	False	[]	True	composition_outlier_warning
gen_19	98	True	False	False	False	True	0.12876768155740687	0.06061925601002585	True	True	False	[]	True	False	[]	True	composition_outlier_warning
gen_20	81	True	False	False	False	True	0.11656621087591554	0.06061925601002585	True	True	False	[]	True	False	[]	True	composition_outlier_warning
gen_21	109	True	False	False	False	True	0.12208180664869489	0.06061925601002585	True	True	False	[]	True	False	[]	True	composition_outlier_warning
gen_22	112	True	False	False	False	True	0.10858195345227181	0.06061925601002585	True	True	False	[]	True	False	[]	True	composition_outlier_warning
gen_23	99	True	False	False	False	True	0.07532163822946997	0.06061925601002585	True	True	False	[]	True	False	[]	True	composition_outlier_warning
gen_24	105	True	False	False	False	True	0.1505671166945196	0.06061925601002585	True	True	False	[]	True	False	[]	True	composition_outlier_warning
gen_25	84	True	False	False	False	True	0.06432679015281972	0.06061925601002585	True	True	False	[]	True	False	[]	True	composition_outlier_warning
gen_26	102	True	False	False	False	True	0.12543979850508888	0.06061925601002585	True	True	False	[]	True	False	[]	True	composition_outlier_warning
gen_27	104	True	False	False	False	True	0.05461300563476514	0.06061925601002585	False	True	False	[]	True	False	[]	True	
gen_28	66	True	False	False	False	True	0.11480002685807533	0.06061925601002585	True	True	False	[]	True	False	[]	True	composition_outlier_warning
gen_29	366	True	False	False	False	True	0.10121017833991147	0.06061925601002585	True	True	False	[]	True	False	[]	False	length_above_maximum;composition_outlier_warning
gen_30	288	True	False	False	False	True	0.08922386547721387	0.06061925601002585	True	True	False	[]	True	False	[]	False	length_above_maximum;composition_outlier_warning
gen_31	305	True	False	False	False	True	0.05234160679870847	0.06061925601002585	False	True	False	[]	True	False	[]	False	length_above_maximum
gen_32	104	True	False	False	False	True	0.05896956444386321	0.06061925601002585	False	True	False	[]	True	False	[]	True	
gen_33	482	True	False	False	False	True	0.035579819233191486	0.06061925601002585	False	True	False	[]	True	False	[]	False	length_above_maximum
gen_34	115	True	False	False	False	True	0.12003477133666714	0.06061925601002585	True	True	False	[]	True	False	[]	True	composition_outlier_warning
gen_35	155	True	False	False	False	True	0.043753361195197946	0.06061925601002585	False	True	False	[]	True	False	[]	True	
