reference_id	source_path	source_id	source_header	sequence_sha256	length	accepted	unique_representative	status
nat_49cef355c6ba3187ae5c	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_49cef355c6ba3187ae5c	nat_49cef355c6ba3187ae5c	49cef355c6ba3187ae5c9104097887f71b46d34a1bb4fd051de140f31dbffc07	76	True	True	prevalidated_reference_input
nat_766d45336d56f5b42f24	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_766d45336d56f5b42f24	nat_766d45336d56f5b42f24	766d45336d56f5b42f24327e8017dcef111a6d0d9ef09d065ff599ed28c3610e	79	True	True	prevalidated_reference_input
nat_39696a92cfeac6f208a2	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_39696a92cfeac6f208a2	nat_39696a92cfeac6f208a2	39696a92cfeac6f208a255a5ec1c7cae2a4ce2a68c1bd57acb083ca27b8585bb	78	True	True	prevalidated_reference_input
nat_bf0dfc6c51956e5d54f7	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_bf0dfc6c51956e5d54f7	nat_bf0dfc6c51956e5d54f7	bf0dfc6c51956e5d54f7904eabcfda2aca05adff69b9fb1a544c2635718dc258	78	True	True	prevalidated_reference_input
nat_278c7a3fd12af0319695	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_278c7a3fd12af0319695	nat_278c7a3fd12af0319695	278c7a3fd12af0319695fae40d23ee8f76abf60d19c5e52b3b9dab1e368567ba	71	True	True	prevalidated_reference_input
nat_5bc7120641a4b206dec6	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_5bc7120641a4b206dec6	nat_5bc7120641a4b206dec6	5bc7120641a4b206dec615e69a9573322282b0869275b3db5d6e281c748b2aff	72	True	True	prevalidated_reference_input
nat_61a382d08777524701b3	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_61a382d08777524701b3	nat_61a382d08777524701b3	61a382d08777524701b3b127d54c55544b762da256e18e1289de6de3ef39b838	72	True	True	prevalidated_reference_input
nat_a1131689eff9ccc2bc1c	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_a1131689eff9ccc2bc1c	nat_a1131689eff9ccc2bc1c	a1131689eff9ccc2bc1cb9c6417b27251120988628db25efce7ae158aaecf416	70	True	True	prevalidated_reference_input
nat_eccab6536bed142192aa	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_eccab6536bed142192aa	nat_eccab6536bed142192aa	eccab6536bed142192aa8ae35f75a35f64e1e978ec751eee4b6251731c6ee4f8	70	True	True	prevalidated_reference_input
nat_a36a3359d46f89a3e9c6	data/processed/gv02_03_v2/member_b_handoff/gvpa_training_eligible.fasta	nat_a36a3359d46f89a3e9c6	nat_a36a3359d46f89a3e9c6	a36a3359d46f89a3e9c6d339b24da5b9e7b56e875526568f984c4d9d61c9bfca	93	True	True	prevalidated_reference_input
